cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr3B	347801166	356211822	Chr3B	376223280	395539411	16	0.9944999999999999
Chr3B	358584653	363324584	Chr3B	388399217	393184185	10	0.9959
Chr3B	367678075	373875790	Chr3B	399245863	405378071	31	0.989774193548387
Chr3B	377420901	466686636	Chr3B	405857268	494957648	483	0.997807453416149
Chr3B	469640104	514129864	Chr3B	498947668	543383493	263	0.9971596958174904
Chr3B	29379899	85340142	Chr3B	38415139	100792291	549	0.9952404371584701
Chr3B	87718232	191189469	Chr3B	103154034	207030100	607	0.9975321252059307
Chr3B	193609697	195100861	Chr3B	209462520	211003168	11	0.9978181818181817
Chr3B	197792489	207735313	Chr3B	213804767	223700019	68	0.9960882352941176
Chr3B	212297313	215012163	Chr3B	228522671	231022621	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	234250218	247342748	50	0.9926400000000001
Chr3B	235855911	277099960	Chr3B	252797465	294827092	195	0.9960461538461538
Chr3B	283596077	284678121	Chr3B	301644534	302753231	4	0.9935
Chr3B	292022415	296187942	Chr3B	308946726	313570457	4	0.9964999999999999
Chr3B	299132814	317625373	Chr3B	317031650	337085202	23	0.9962173913043478
Chr3B	322293448	338599491	Chr3B	341735401	358859562	24	0.9940833333333333
Chr3B	340796436	346618338	Chr3B	361052647	366806261	10	0.9967
Chr3B	364542893	367477711	Chr3B	384057874	387190313	9	0.997111111111111
Chr3B	375173759	376633786	Chr3B	396502085	397925180	3	0.9936666666666666
Chr3B	424786615	425390047	Chr3B	450163079	450757782	4	0.992
Chr3B	519052799	822195043	Chr3B	543432040	853459543	2611	0.9971551129835312
Chr3B	826648738	830611341	Chr3B	853843115	860054302	40	0.984
Chr3B	823555655	823894693	Chr3B	863578745	863931781	5	0.9936
Chr3B	825868904	826487580	Chr3B	860135294	860746097	10	0.9791000000000001
