cs_chr	JIN50_tgt_chr	n_anchors	JIN50_mean_anchor_gap_Mb	JIN50_interp_type	n_segments	JIN50_mean_anchor_fraction
Chr1A	Chr1A	4001	0.148	linear	1	0.952
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4109	0.108	linear+pchip+linear+linear+pchip	5	0.818
Chr1D	Chr1D	4357	0.114	linear	1	0.98
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5229	0.189	pchip+pchip+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip+pchip+linear	11	0.939
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5579	0.225	pchip_inverted+pchip_inverted+linear+pchip+pchip_inverted+pchip_inverted+pchip+linear+pchip_inverted	9	0.94
Chr2D	Chr2D+Chr2D	5638	0.086	linear+pchip_inverted	2	0.977
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4990	0.119	linear+pchip_inverted+linear+pchip+pchip	5	0.972
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B	5051	0.138	linear+linear+pchip_inverted+pchip_inverted	4	0.916
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5108	0.147	pchip_inverted+linear+pchip_inverted+pchip_inverted+linear	5	0.98
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3562	0.398	linear+pchip_inverted+linear+linear	4	0.853
Chr4B	Chr4B+Chr4B	3600	0.839	linear+linear	2	0.805
Chr4D	Chr4D+Chr4D	3550	0.101	linear+pchip	2	0.992
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5220	0.148	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	6	0.964
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5248	0.151	pchip_inverted+linear+linear+pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	8	0.936
Chr5D	Chr5D+Chr5D	5456	0.13	linear+linear	2	0.985
Chr6A	Chr6A+Chr6A	3810	0.11	linear+linear	2	0.961
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3763	0.156	pchip+pchip+linear+pchip_inverted+pchip_inverted	5	0.763
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D	3735	0.091	linear+pchip_inverted+pchip_inverted+linear	4	0.968
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5132	0.136	pchip+pchip_inverted+linear+pchip_inverted+linear	5	0.955
Chr7B	Chr7B	3644	0.206	linear	1	0.669
Chr7D	Chr7D+Chr7D+Chr7D	5343	0.071	pchip+linear+pchip_inverted	3	0.988
