cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr7A	146678066	157007452	Chr7A	161008177	171808372	74	0.9957702702702702
Chr7A	161650971	171949346	Chr7A	145030817	155631830	96	0.9952395833333334
Chr7A	211205518	211732393	Chr7A	159036751	159600496	18	0.9883333333333335
Chr7A	239629	71670370	Chr7A	238899	70013673	891	0.992297418630752
Chr7A	73730871	146026136	Chr7A	72215499	144590683	688	0.9966816860465116
Chr7A	157014280	161280272	Chr7A	155985480	161001350	15	0.9937999999999999
Chr7A	172234378	311914665	Chr7A	172537023	310665260	683	0.9977803806734992
Chr7A	314415263	356369547	Chr7A	313141248	355067253	81	0.9986049382716049
Chr7A	359051136	360613751	Chr7A	357701549	359232539	3	0.999
Chr7A	362739671	388772773	Chr7A	363979218	389760702	38	0.9996315789473685
Chr7A	391904207	735496709	Chr7A	392889454	735365740	2495	0.9963679358717435
