cs_chr	SY_Mattis_tgt_chr	n_anchors	SY_Mattis_mean_anchor_gap_Mb	SY_Mattis_interp_type	n_segments	SY_Mattis_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A	4022	0.082	linear+linear+linear+linear	4	0.951
Chr1B	Chr1B+Chr1B	4156	0.214	linear+linear	2	0.909
Chr1D	Chr1D	4336	0.114	linear	1	0.975
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	4793	0.568	linear+linear+pchip_inverted+linear+linear+linear+linear+linear	8	0.879
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5321	0.211	linear+linear+linear+pchip+linear+linear	6	0.915
Chr2D	Chr2D+Chr2D	5361	0.094	linear+pchip_inverted	2	0.949
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4962	0.115	linear+linear+linear+pchip+pchip	5	0.964
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B	5281	0.212	linear+linear+linear+linear	4	0.911
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	4825	0.166	linear+linear+linear+pchip_inverted+pchip_inverted	5	0.953
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3953	0.455	linear+pchip_inverted+linear+linear	4	0.892
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3666	0.224	linear+pchip_inverted+linear+linear	4	0.956
Chr4D	Chr4D	3445	0.147	linear	1	0.982
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5163	0.136	linear+linear+linear+pchip_inverted+linear+linear+linear	7	0.953
Chr5B	Chr5B+Chr7B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B+Chr7B	4939	0.107	linear+linear+linear+linear+pchip_inverted+linear+pchip+linear	8	0.856
Chr5D	Chr5D+Chr5D+Chr5D	5391	0.08	linear+linear+linear	3	0.977
Chr6A	Chr6A	3788	0.163	linear	1	0.956
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3955	0.197	linear+linear+linear+linear+linear+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	11	0.855
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D	3706	0.101	linear+pchip_inverted+linear+linear	4	0.959
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5082	0.108	linear+linear+linear+linear	4	0.953
Chr7B	Chr5B+Chr7B+Chr5B+Chr7B+Chr7B+Chr7B	4330	8.311	linear+linear+linear+linear+linear+linear	6	0.902
Chr7D	Chr7D+Chr7D+Chr7D	5188	0.077	linear+linear+linear	3	0.971
