cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr3A	85896	128718501	Chr3A	299083	135920846	1316	0.9952006079027357
Chr3A	130835529	181088605	Chr3A	138027983	187746080	215	0.9982604651162791
Chr3A	184214632	251342423	Chr3A	190851283	257547483	205	0.9993609756097561
Chr3A	259064196	267056348	Chr3A	265152189	273009165	12	0.9978333333333333
Chr3A	269215500	273159995	Chr3A	275157380	279060076	6	0.9993333333333334
Chr3A	275284207	283103162	Chr3A	281186309	288942517	7	0.9998571428571428
Chr3A	290432064	293589663	Chr3A	296836341	299984634	5	0.999
Chr3A	295949198	314620161	Chr3A	302319117	320853548	24	0.9997916666666667
Chr3A	322880184	337881732	Chr3A	329342495	344920944	29	0.999551724137931
Chr3A	340259729	343231466	Chr3A	347310621	350256882	8	0.996625
Chr3A	345871376	349014829	Chr3A	352873151	355986637	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	358072371	534281407	866	0.9984422632794456
Chr3A	532317912	545153837	Chr3A	534401870	547309926	94	0.992468085106383
Chr3A	556260652	750618114	Chr3A	551493216	749135255	2075	0.9956501204819278
Chr3A	530187839	530496965	Chr3A	549106305	549426891	5	0.9904
Chr3A	531078912	531944149	Chr3A	547648041	548503016	9	0.9948888888888889
Chr3A	545257989	547981226	Chr3A	104046313	106776959	30	0.9985666666666667
Chr3A	549266231	555697701	Chr3A	108044858	114351408	46	0.9950869565217392
