cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	535143	52229917	559	0.9962271914132379
Chr4A	57409017	63099410	Chr4A	57434935	63160915	53	0.9940943396226416
Chr4A	69980687	75971067	Chr4A	69694927	75624069	44	0.9930454545454546
Chr4A	81276884	130504034	Chr4A	80980290	129597830	280	0.9946607142857142
Chr4A	132701921	192628546	Chr4A	131646390	191282141	259	0.9983088803088803
Chr4A	195313531	220022826	Chr4A	193949456	218496651	45	0.9980222222222223
Chr4A	222107768	222562036	Chr4A	220576352	221023877	3	1.0
Chr4A	225313869	227091476	Chr4A	223746732	225513382	4	1.0
Chr4A	229493172	242884659	Chr4A	227881069	241115085	21	1.0
Chr4A	329170186	334268011	Chr4A	326457652	331650969	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	335628400	346942092	23	0.9998260869565219
Chr4A	352270324	353874280	Chr4A	349038509	350627274	4	1.0
Chr4A	356554191	359638234	Chr4A	353277824	356323750	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	358758875	362271811	5	0.9892
Chr4A	373805571	387104269	Chr4A	370725121	383942439	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	386067078	387692125	3	1.0
Chr4A	395027325	398506001	Chr4A	391778061	395215199	6	1.0
Chr4A	400757887	401303656	Chr4A	397453096	398004403	3	0.999
Chr4A	407610912	420517232	Chr4A	404240737	417102512	17	0.9997058823529412
Chr4A	422761993	508494353	Chr4A	419350309	504263777	413	0.9983050847457627
Chr4A	510639254	641610833	Chr4A	506376404	635337514	1473	0.9973265444670739
Chr4A	662052448	667425914	Chr4A	653596987	660227414	57	0.9958070175438596
Chr4A	686530004	712597135	Chr4A	680335093	706857052	212	0.9912641509433963
Chr4A	718423137	724017717	Chr4A	709972372	715787951	29	0.9760000000000001
Chr4A	727746064	744523018	Chr4A	720133387	736392457	205	0.9860146341463414
