cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	109539	140925441	1425	0.9985543859649123
Chr4D	143579930	155648423	Chr4D	143582683	155582537	16	0.994625
Chr4D	163412513	183387226	Chr4D	163279852	183130309	26	0.9998076923076924
Chr4D	188710899	192736636	Chr4D	189716106	193698977	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	195970996	199510094	7	0.9994285714285714
Chr4D	201443437	204732235	Chr4D	202716933	206207810	6	1.0
Chr4D	206901645	212157624	Chr4D	207342655	212505287	21	0.998952380952381
Chr4D	214312396	228145178	Chr4D	214639791	228378629	23	0.999521739130435
Chr4D	230482531	238626311	Chr4D	230576715	238852032	10	0.9996
Chr4D	240933419	248933627	Chr4D	241142221	249226934	19	0.9994210526315788
Chr4D	251524682	256552996	Chr4D	251795852	256791287	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	259106281	261491736	6	1.0
Chr4D	263946972	268074619	Chr4D	264172543	268247721	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	270825591	329194066	243	0.9990699588477366
Chr4D	331638064	375735889	Chr4D	331478344	375258574	302	0.9994635761589404
Chr4D	377828182	410407878	Chr4D	377334922	409829224	237	0.9991181434599156
Chr4D	412715801	505554072	Chr4D	410578246	504219337	1080	0.9990703703703705
