cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr6B	127040049	127749533	Chr6B	144500142	145154718	7	0.9964285714285716
Chr6B	128447687	130476439	Chr6B	140711000	142299664	18	0.9918333333333335
Chr6B	141675146	142232251	Chr6B	128434938	129430968	5	0.9720000000000001
Chr6B	142596232	144371953	Chr6B	125554456	127294642	18	0.9969999999999999
Chr6B	179338689	200611006	Chr6B	207328411	228999503	115	0.996808695652174
Chr6B	212157506	219216521	Chr6B	188987430	195582035	35	0.9929142857142857
Chr6B	220574997	227094797	Chr6B	180332039	186663149	30	0.9968666666666667
Chr6B	387119500	399207768	Chr6B	341996577	353402411	33	0.9976363636363635
Chr6B	168584	103962989	Chr6B	25340	103184369	942	0.9909416135881104
Chr6B	106468710	109142658	Chr6B	105691427	108364882	7	0.9995714285714286
Chr6B	111685641	126728464	Chr6B	110866214	125216082	108	0.9929907407407407
Chr6B	130826284	141199409	Chr6B	129852393	140360941	66	0.9908484848484849
Chr6B	144890521	178273138	Chr6B	145640272	179560839	208	0.9918653846153845
Chr6B	201409686	211214330	Chr6B	196480358	206534013	51	0.9970588235294117
Chr6B	227640143	240401733	Chr6B	229677250	242248743	79	0.9993544303797468
Chr6B	243269422	250132421	Chr6B	245154992	251590740	22	0.9945454545454546
Chr6B	255004953	262472341	Chr6B	252456111	259879404	31	0.9977096774193549
Chr6B	264839998	264978909	Chr6B	262239541	262383878	6	0.9973333333333333
Chr6B	269689585	282983990	Chr6B	266286572	279915365	44	0.9983636363636363
Chr6B	286712737	302596217	Chr6B	283953157	299263273	52	0.995596153846154
Chr6B	304894478	307026717	Chr6B	301502343	303628052	6	0.9991666666666666
Chr6B	309686891	321293096	Chr6B	304100490	316228897	22	0.9975
Chr6B	333518318	339367085	Chr6B	317443498	335512326	9	0.999
Chr6B	341712366	343111521	Chr6B	338908654	340217058	5	0.9969999999999999
Chr6B	368477109	370130843	Chr6B	364790254	366271734	5	0.9994
Chr6B	376296463	381312862	Chr6B	358434414	363534027	7	0.9994285714285714
Chr6B	399766388	417348354	Chr6B	379886593	406169730	41	0.9969756097560977
Chr6B	430193107	441049080	Chr6B	406844997	417692132	51	0.998686274509804
Chr6B	444540716	479000671	Chr6B	421193598	458679387	173	0.9961445086705201
Chr6B	490565356	501128363	Chr6B	473449151	484080158	52	0.997923076923077
Chr6B	516078619	620708761	Chr6B	496057297	598739008	643	0.9971321928460343
Chr6B	622726250	626889431	Chr6B	600643493	604671779	35	0.9934000000000002
Chr6B	630465748	720953306	Chr6B	607181947	698807557	887	0.9894103720405862
Chr6B	479300211	490260104	Chr6B	484374324	495616630	47	0.9930425531914896
Chr6B	501521478	515582492	Chr6B	459161509	473058483	89	0.9994494382022471
