cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr2A	2659173	9181314	Chr2A	4468521	10819790	38	0.946078947368421
Chr2A	13130664	233473266	Chr2A	14342320	236051795	1676	0.9917667064439141
Chr2A	255910505	256209030	Chr2A	258630939	258906375	4	0.998
Chr2A	278994740	281746218	Chr2A	280658005	283449563	5	0.9986
Chr2A	283944564	286439768	Chr2A	285700129	288310557	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	290821181	295676992	7	0.9911428571428572
Chr2A	300399162	306682759	Chr2A	302550236	308967677	7	0.9960000000000001
Chr2A	309689781	315039543	Chr2A	311955394	318333234	7	0.9891428571428572
Chr2A	317947462	324619894	Chr2A	321176151	327942389	12	0.9951666666666666
Chr2A	329696283	338546598	Chr2A	331381697	340535675	31	0.9927741935483871
Chr2A	340608829	341927845	Chr2A	345178438	346842581	3	0.9983333333333334
Chr2A	349224718	353303044	Chr2A	353034693	357128021	9	0.9929999999999999
Chr2A	361383116	362444338	Chr2A	368820259	369891148	3	0.9986666666666667
Chr2A	364470917	366383663	Chr2A	365357374	367441264	5	0.9982
Chr2A	369216145	395710262	Chr2A	373308152	399324645	91	0.9960659340659339
Chr2A	398464297	398971793	Chr2A	403802111	404280271	4	0.99525
Chr2A	405468040	486499474	Chr2A	408924499	489512601	268	0.9961343283582087
Chr2A	488847564	547776466	Chr2A	491839032	549700608	314	0.9958152866242039
Chr2A	563202760	567735681	Chr2A	566084658	570652953	34	0.9981764705882353
Chr2A	582840575	760762714	Chr2A	584553038	764445978	1949	0.9962339661364802
Chr2A	770290636	775308617	Chr2A	771761753	776641283	65	0.9959076923076923
