cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr3D	328640	7609867	Chr3D	230151	10411341	89	0.9387191011235955
Chr3D	10455287	33384231	Chr3D	11848081	33834471	221	0.9727511312217195
Chr3D	35818559	116408326	Chr3D	34537715	114755630	711	0.9956877637130801
Chr3D	118542402	193596645	Chr3D	116874916	191642691	419	0.9994415274463008
Chr3D	196947044	200390459	Chr3D	194963758	198384999	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	200791032	200827089	4	1.0
Chr3D	206979095	213997235	Chr3D	205083849	212043416	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	214456500	217543101	6	1.0
Chr3D	225525420	232470513	Chr3D	223616488	230527788	13	0.9943076923076923
Chr3D	234603090	244292283	Chr3D	232640074	243330675	13	0.9998461538461539
Chr3D	246327705	257173258	Chr3D	244126522	256114265	29	0.9995172413793104
Chr3D	259434941	298593191	Chr3D	258358372	297078144	137	0.9983503649635037
Chr3D	309654306	313930346	Chr3D	307834400	312089208	33	0.9999090909090909
Chr3D	324387385	492131921	Chr3D	322739856	489036918	1383	0.999054953000723
Chr3D	494653889	615474754	Chr3D	491543421	610246177	1592	0.997699120603015
