cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr5B	429947780	467841648	344	0.9955145348837209
Chr7B	39548352	169470795	Chr5B	288458797	427578163	913	0.9957261774370207
Chr7B	171985598	259608478	Chr5B	198815266	286003295	382	0.9980837696335078
Chr7B	261997306	267338411	Chr5B	190908089	196226304	10	1.0
Chr7B	269798374	275458420	Chr5B	182436467	188158840	11	0.9975454545454544
Chr7B	281386105	284147237	Chr5B	175572359	178319676	5	1.0
Chr7B	289163500	307364806	Chr5B	148743946	169403327	29	0.999793103448276
Chr7B	327143702	337641571	Chr5B	302715331	313102920	64	0.998421875
Chr7B	325467505	326394675	Chr7B	560081444	561009335	3	1.0
Chr7B	337929275	340640628	Chr7B	561805992	574350349	8	0.9984999999999999
Chr7B	357994137	389109218	Chr7B	577417710	611807871	134	0.9988880597014925
Chr7B	391956637	405970176	Chr7B	614702684	628584161	51	0.9994901960784313
Chr7B	408568404	419042240	Chr7B	631163214	641651916	45	0.9994
Chr7B	421064524	541167218	Chr7B	643662423	763229245	781	0.998673495518566
Chr7B	543188151	734772755	Chr7B	765280514	952356744	1421	0.9926361717100634
Chr7B	741985958	747287396	Chr7B	954041736	961889091	33	0.9763636363636363
Chr7B	749332248	750604265	Chr7B	959459645	961426193	33	0.9910000000000001
