cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr6D	46902857	49272122	Chr6D	61517983	63860526	30	0.9973333333333333
Chr6D	43783	3607139	Chr6D	2444615	5351905	76	0.9959210526315789
Chr6D	5977896	28414621	Chr6D	5693609	33064276	456	0.9995021929824562
Chr6D	36581551	46873994	Chr6D	37565581	55927806	89	0.9991685393258426
Chr6D	49450861	164765103	Chr6D	56585870	173373646	881	0.9991101021566401
Chr6D	166779487	214550301	Chr6D	175318657	221848782	73	0.9988767123287671
Chr6D	216846232	227401287	Chr6D	224324265	234810530	15	0.9988666666666667
Chr6D	232122220	239805311	Chr6D	239494714	247089311	12	0.9938333333333333
Chr6D	242219199	280904417	Chr6D	249487973	289354633	143	0.9988111888111887
Chr6D	283156017	345395419	Chr6D	291576692	353324743	423	0.99974231678487
Chr6D	347996568	415028218	Chr6D	354922557	422458338	578	0.9990519031141869
Chr6D	417690848	473516145	Chr6D	425034207	480307399	901	0.9951231964483906
Chr6D	346099970	347688241	Chr6D	361579804	363157041	19	1.0
Chr6D	354419222	355242742	Chr6D	354055852	354872870	9	0.9998888888888889
