cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr5A	693435	2647723	Chr5A	1939955	4017419	26	0.995923076923077
Chr5A	4790553	60528080	Chr5A	4908640	62254480	470	0.995695744680851
Chr5A	63377052	151734470	Chr5A	65407167	152625876	403	0.9987121588089329
Chr5A	155555039	159534199	Chr5A	156416917	160369384	13	0.9998461538461539
Chr5A	161914114	180994113	Chr5A	162736566	181828430	37	0.9997567567567568
Chr5A	183430057	185651119	Chr5A	184230313	186429165	4	1.0
Chr5A	191038029	199222973	Chr5A	191757043	199836436	16	0.998875
Chr5A	203479442	222599127	Chr5A	204089389	223227680	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	225294570	237225233	28	0.9998928571428571
Chr5A	245959193	248536470	Chr5A	244105241	250017463	7	1.0
Chr5A	258775970	388640539	Chr5A	258504923	387315861	637	0.9991020408163264
Chr5A	394557489	399457446	Chr5A	390531435	395364750	59	0.9982033898305086
Chr5A	402540994	423746112	Chr5A	401158372	422636460	111	0.9964684684684685
Chr5A	426904378	703197920	Chr5A	423054519	693513416	3162	0.9957517394054396
Chr5A	706000639	709195222	Chr5A	693692463	699912151	34	0.9754117647058824
