gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	225374	230698	+	228036	1.0	0.99
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	235907	240083	-	237995	0.958	0.932
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	298866	299348	-	299107	1.0	0.977
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	376584	381687	+	379135	0.982	0.962
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	395839	397550	+	396694	1.0	0.992
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	401093	405814	-	403453	0.983	0.98
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	515649	516799	-	516224	0.998	0.994
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	522143	525528	+	523835	0.999	0.977
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	531033	531878	+	531455	0.995	0.915
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	603472	605849	+	604660	0.975	0.963
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	606617	610208	-	608412	0.986	0.916
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	653112	655117	+	654114	1.0	0.971
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	751571	752539	+	752055	1.0	0.998
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	766499	767053	+	766776	0.92	0.903
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	776884	783825	+	780354	1.0	0.996
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	841384	842337	-	841860	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	843930	844537	-	844233	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	852820	854088	+	853454	0.998	0.945
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	862520	863558	-	863039	0.995	0.975
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	1072736	1074279	-	1073507	0.997	0.978
