gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	78832	79967	+	79399	1.0	1.0	collinear
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	87148	88986	+	88067	1.0	1.0	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	89354	93274	-	91314	1.0	1.0	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	93718	97207	-	95462	0.993	0.993	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	100186	107375	+	103780	1.0	1.0	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	114121	115910	+	115015	1.0	1.0	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	125947	128969	-	127458	1.0	1.0	collinear
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	132078	135037	-	133557	1.0	1.0	collinear
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	137624	140286	-	138955	1.0	1.0	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	152410	158386	-	155398	1.0	1.0	collinear
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	177493	180770	+	179131	1.0	1.0	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	231512	243626	-	237569	1.0	1.0	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	447826	460296	-	454061	1.0	1.0	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	470452	472509	-	471480	1.0	1.0	collinear
