gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1230893	1235128	-	1233010	1.0	0.998
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	1203456	1207273	+	1205364	1.0	1.0
gene:TraesCS3A03G0000300	Chr3A	96529	96813	+	96671	Chr3A	1163701	1163985	-	1163843	1.0	1.0
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	1088753	1089130	-	1088941	1.0	1.0
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	596499	600544	+	598521	0.998	0.997
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	588983	591701	+	590342	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	547393	553874	-	550633	0.967	0.953
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	538624	541786	-	540205	1.0	0.982
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	376672	379956	-	378314	1.0	0.998
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	348897	350762	-	349829	0.97	0.958
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	302310	304600	-	303455	1.0	0.993
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	254500	257078	-	255789	0.962	0.96
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	216057	219304	-	217680	0.955	0.955
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	195131	198252	-	196691	0.966	0.966
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	32933	33232	+	33082	1.0	1.0
gene:TraesCS3A03G0008900	Chr3A	2507366	2507736	+	2507551	Chr3A	6432575	6432945	-	6432760	1.0	1.0
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	5928754	5929124	-	5928939	1.0	1.0
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	6250621	6251321	-	6250971	1.0	1.0
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	5945406	5946024	-	5945715	1.0	0.997
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	4915051	4915633	-	4915342	1.0	0.997
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	5430225	5430920	-	5430572	1.0	0.994
