cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr6B	263632198	267046201	Chr6B	263872092	267324456	15	0.9972666666666667
Chr6B	304323	109698670	Chr6B	514225	106736829	996	0.9926375502008032
Chr6B	112206304	114854793	Chr6B	110158640	112578431	6	0.9876666666666667
Chr6B	117469105	246426312	Chr6B	115068113	246693093	739	0.9933748308525034
Chr6B	249274084	259111612	Chr6B	249580883	259277461	29	0.9943793103448276
Chr6B	261263057	261537012	Chr6B	261438536	261724165	7	0.9954285714285713
Chr6B	280387366	289129738	Chr6B	269894761	278503852	39	0.9959487179487178
Chr6B	292829101	297214023	Chr6B	282364192	286691366	20	0.9961499999999999
Chr6B	301908638	306833186	Chr6B	299981900	304945871	23	0.9959999999999999
Chr6B	323344757	327439454	Chr6B	312963131	317099520	11	0.9954545454545456
Chr6B	348550830	349949438	Chr6B	339793222	341191969	5	0.9942
Chr6B	376248217	382218678	Chr6B	366843471	372834789	8	0.997375
Chr6B	410641112	432650099	Chr6B	400515249	422641843	53	0.9946037735849056
Chr6B	438515907	449326149	Chr6B	423467547	434386016	50	0.9984599999999999
Chr6B	452819490	460853724	Chr6B	437867571	445883238	42	0.9937857142857143
Chr6B	464515537	486984757	Chr6B	447925682	470245477	119	0.9961092436974789
Chr6B	501454366	507279716	Chr6B	487209571	493035418	30	0.9995999999999999
Chr6B	524252260	629148387	Chr6B	507398413	613553989	633	0.9964060031595577
Chr6B	631157333	635284956	Chr6B	615448778	619490678	32	0.993625
Chr6B	638657051	731065543	Chr6B	622035167	714812688	905	0.9897370165745856
Chr6B	487287532	500639307	Chr6B	493841515	507147492	62	0.9986129032258063
Chr6B	507834004	523759415	Chr6B	470725832	486628032	97	0.9993505154639176
