cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr7B	34602	670134	Chr7B	8544790	9191723	18	0.9951111111111111
Chr7B	7253727	9666457	Chr7B	282512	2452727	23	0.9951304347826087
Chr7B	347847291	350196935	Chr7B	364080841	366469648	5	0.9987999999999999
Chr7B	343118388	344172727	Chr7B	352632068	353688252	5	1.0
Chr7B	352166805	361784297	Chr7B	342805048	352423418	11	0.9996363636363637
Chr7B	779297	7171332	Chr7B	2530856	8435123	73	0.9928219178082189
Chr7B	10073089	183070778	Chr7B	9279731	183025139	1221	0.9967690417690417
Chr7B	186156096	273738848	Chr7B	185867647	272736182	380	0.998007894736842
Chr7B	277209396	293144785	Chr7B	275626817	292489724	24	0.9987083333333334
Chr7B	295582888	321770729	Chr7B	294961025	325754143	41	0.9974634146341463
Chr7B	327149605	342648507	Chr7B	326670994	342290301	32	0.998125
Chr7B	362128535	393308791	Chr7B	356847874	392388758	136	0.9984852941176472
Chr7B	396179589	410599513	Chr7B	395212938	409273155	52	0.9995
Chr7B	413179671	423778078	Chr7B	411901932	422454174	45	0.9996444444444444
Chr7B	425791676	545780843	Chr7B	424497214	546694911	769	0.9971586475942783
Chr7B	547795684	701848583	Chr7B	548773371	699881701	1016	0.9924763779527559
Chr7B	708818006	739061629	Chr7B	699844051	728272753	280	0.9897857142857143
Chr7B	741068095	742143589	Chr7B	731440008	732331209	17	0.9977058823529411
Chr7B	752573257	755569825	Chr7B	744620976	747367088	24	0.9551666666666666
Chr7B	673989432	674391901	Chr7B	676572558	676985307	6	0.9991666666666666
