cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr1A	55218	403603	Chr1A	3228749	3591722	14	0.9947857142857143
Chr1A	1171714	22969134	Chr1A	162130	21803697	298	0.98896644295302
Chr1A	30504264	161541694	Chr1A	22085368	155020575	782	0.9975754475703326
Chr1A	163678239	179374573	Chr1A	157200826	172957500	29	0.9991724137931035
Chr1A	181647298	184244993	Chr1A	175020375	177612213	6	0.9971666666666666
Chr1A	187212146	195578524	Chr1A	180633780	189021569	11	0.9998181818181819
Chr1A	202719482	204217307	Chr1A	196210361	197708768	4	1.0
Chr1A	206439950	211446295	Chr1A	199958764	205001961	8	0.999625
Chr1A	214015968	411777219	Chr1A	207688542	411123193	909	0.9959636963696369
Chr1A	414061309	422384517	Chr1A	413549187	422187577	22	0.9947727272727271
Chr1A	425019660	592657636	Chr1A	424009111	591254159	1845	0.9951620596205962
