cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr7D	29684908	30607183	Chr7D	35673687	36964166	9	0.9998888888888889
Chr7D	35525944	37657788	Chr7D	28358130	30544368	31	0.9994838709677419
Chr7D	210218	35461746	Chr7D	130823	35630585	547	0.9963345521023766
Chr7D	37808323	282517414	Chr7D	38176027	283839784	2078	0.998920596727623
Chr7D	284804194	287605519	Chr7D	286100403	288956441	5	0.9944000000000001
Chr7D	289812212	308999203	Chr7D	291168335	313165744	40	0.9998250000000001
Chr7D	311331614	315519045	Chr7D	315508488	319708094	10	0.9998000000000001
Chr7D	320605710	323749465	Chr7D	321849700	325027006	6	0.9994999999999999
Chr7D	326109003	342132821	Chr7D	327392121	343689678	19	0.9997894736842107
Chr7D	344251962	642831662	Chr7D	345901240	643707779	2513	0.9990668523676879
