cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr6D	2818136	27630303	Chr6D	241888	27368349	476	0.9985567226890756
Chr6D	32741204	38579793	Chr6D	32021265	38639153	83	0.9984578313253014
Chr6D	49876700	51509852	Chr6D	43201180	44866926	28	0.9973928571428571
Chr6D	64544097	186375773	Chr6D	53735112	176340351	935	0.9989540106951872
Chr6D	188380630	200393382	Chr6D	178294288	190358659	29	0.9972758620689655
Chr6D	203260384	233080808	Chr6D	193217297	223088485	42	0.9997380952380953
Chr6D	238222872	248135261	Chr6D	226281461	236215008	14	0.9993571428571429
Chr6D	254067340	261093398	Chr6D	242138825	249180543	11	0.999909090909091
Chr6D	263489417	302615547	Chr6D	251587215	291241049	141	0.9986099290780144
Chr6D	304859324	436495956	Chr6D	293477752	425069235	1028	0.9993190661478599
Chr6D	439160889	495303957	Chr6D	427761816	483700476	913	0.9956254107338446
