cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	70173	142362143	1412	0.9991118980169972
Chr4D	143939177	159173700	Chr4D	145043329	160341062	17	0.9997058823529412
Chr4D	163710731	183649096	Chr4D	164857232	184687554	26	0.9997692307692309
Chr4D	188969484	192971731	Chr4D	191444568	195449366	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	197728113	201315162	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	204535404	215472977	27	0.9996296296296298
Chr4D	214566503	228344802	Chr4D	217632645	231493608	23	0.9948695652173912
Chr4D	230503918	238850566	Chr4D	233726276	242075380	11	0.9993636363636365
Chr4D	241150325	249170093	Chr4D	244359688	252437398	18	0.9996666666666668
Chr4D	251744642	256746015	Chr4D	255025927	260070335	7	0.9988571428571428
Chr4D	259082246	261473317	Chr4D	262394773	264794668	6	0.9998333333333336
Chr4D	264155329	268258812	Chr4D	267486491	271597669	7	0.9984285714285714
Chr4D	270831155	284417863	Chr4D	274176176	287761479	19	0.9956315789473684
Chr4D	286726699	329466878	Chr4D	290050694	332860384	219	0.9992831050228312
Chr4D	331779306	375686787	Chr4D	335180899	379245208	303	0.9995874587458746
Chr4D	377775997	410310201	Chr4D	381275225	414351261	236	0.9982542372881356
Chr4D	412602740	499124444	Chr4D	416924689	504251603	948	0.998974683544304
