gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS7B03G0003800	Chr7B	778870	779724	-	779297	Chr7B	8434696	8435550	+	8435123	1.0	1.0
gene:TraesCS7B03G0003900	Chr7B	797978	798910	+	798444	Chr7B	8414932	8415864	-	8415398	1.0	1.0
gene:TraesCS7B03G0004600	Chr7B	844925	847126	+	846025	Chr7B	8366115	8368316	-	8367215	1.0	1.0
gene:TraesCS7B03G0004700	Chr7B	900491	909163	-	904827	Chr7B	8322837	8333346	+	8328091	1.0	1.0
gene:TraesCS7B03G0005100	Chr7B	1038544	1039671	+	1039107	Chr7B	8191292	8192419	-	8191855	1.0	1.0
gene:TraesCS7B03G0005400	Chr7B	1055416	1057852	-	1056634	Chr7B	8173091	8175527	+	8174309	1.0	0.999
gene:TraesCS7B03G0005500	Chr7B	1082873	1087104	-	1084988	Chr7B	8143577	8147808	+	8145692	1.0	1.0
gene:TraesCS7B03G0005300	Chr7B	1051386	1121512	-	1086449	Chr7B	8108927	8179557	+	8144242	1.0	0.997
gene:TraesCS7B03G0005600	Chr7B	1170334	1171762	+	1171048	Chr7B	8050396	8051824	-	8051110	1.0	1.0
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	7991266	7997111	+	7994188	1.0	1.0
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	7938098	7946107	+	7942102	1.0	1.0
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr7B	7924120	7931099	+	7927609	1.0	1.0
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr7B	7917111	7923444	+	7920277	1.0	1.0
gene:TraesCS7B03G0006500	Chr7B	1313496	1318517	+	1316006	Chr7B	7891075	7896097	-	7893586	1.0	0.999
gene:TraesCS7B03G0006700	Chr7B	1322519	1336722	+	1329620	Chr7B	7872870	7887073	-	7879971	1.0	1.0
gene:TraesCS7B03G0006800	Chr7B	1340667	1341047	+	1340857	Chr7B	7868545	7868925	-	7868735	1.0	1.0
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr7B	7809902	7810633	-	7810267	1.0	1.0
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr7B	7796917	7797306	-	7797111	1.0	1.0
gene:TraesCS7B03G0008000	Chr7B	1436165	1437258	+	1436711	Chr7B	7731358	7732451	-	7731904	1.0	1.0
gene:TraesCS7B03G0008100	Chr7B	1480605	1481773	+	1481189	Chr7B	7686553	7687720	-	7687136	0.999	0.999
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr7B	7471213	7471452	-	7471332	1.0	1.0
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr7B	7133224	7136403	-	7134813	0.98	0.953
gene:TraesCS7B03G0010500	Chr7B	2662842	2663519	-	2663180	Chr7B	6759260	6759937	+	6759598	1.0	1.0
gene:TraesCS7B03G0010700	Chr7B	2668551	2670096	+	2669323	Chr7B	6752682	6754227	-	6753454	1.0	1.0
gene:TraesCS7B03G0011300	Chr7B	2894770	2896423	-	2895596	Chr7B	6525438	6527091	+	6526264	1.0	0.986
gene:TraesCS7B03G0011700	Chr7B	3081146	3082585	+	3081865	Chr7B	6339349	6340788	-	6340068	1.0	1.0
gene:TraesCS7B03G0011800	Chr7B	3116205	3118160	+	3117182	Chr7B	6302798	6304787	-	6303792	0.998	0.984
gene:TraesCS7B03G0012000	Chr7B	3221369	3227272	-	3224320	Chr7B	6177966	6182526	+	6180246	0.978	0.974
gene:TraesCS7B03G0012200	Chr7B	3242585	3251280	-	3246932	Chr7B	6153399	6162094	+	6157746	1.0	1.0
gene:TraesCS7B03G0012600	Chr7B	3264575	3273390	+	3268982	Chr7B	6137359	6146060	-	6141709	0.95	0.949
gene:TraesCS7B03G0012700	Chr7B	3275744	3280289	-	3278016	Chr7B	6130176	6135023	+	6132599	0.993	0.965
gene:TraesCS7B03G0013100	Chr7B	3425640	3425927	-	3425783	Chr7B	5983699	5983986	+	5983842	1.0	0.996
gene:TraesCS7B03G0013300	Chr7B	3473390	3482107	-	3477748	Chr7B	5927607	5936328	+	5931967	1.0	0.997
gene:TraesCS7B03G0013400	Chr7B	3502025	3506191	+	3504108	Chr7B	5903303	5907469	-	5905386	1.0	1.0
gene:TraesCS7B03G0013500	Chr7B	3510580	3514839	-	3512709	Chr7B	5894830	5899089	+	5896959	1.0	0.999
gene:TraesCS7B03G0013600	Chr7B	3660476	3664218	+	3662347	Chr7B	5745932	5749664	-	5747798	0.992	0.989
gene:TraesCS7B03G0013900	Chr7B	3671994	3673638	-	3672816	Chr7B	5736679	5738323	+	5737501	1.0	0.998
gene:TraesCS7B03G0014000	Chr7B	3694071	3695816	+	3694943	Chr7B	5713857	5715527	-	5714692	0.957	0.95
gene:TraesCS7B03G0014800	Chr7B	3869795	3871434	+	3870614	Chr7B	5567239	5568878	-	5568058	1.0	0.996
gene:TraesCS7B03G0015100	Chr7B	4023337	4024742	-	4024039	Chr7B	5411575	5412968	+	5412271	0.99	0.988
gene:TraesCS7B03G0015200	Chr7B	4028025	4030069	-	4029047	Chr7B	5405988	5408051	+	5407019	1.0	0.995
gene:TraesCS7B03G0016300	Chr7B	4116994	4122172	+	4119583	Chr7B	5314354	5319532	-	5316943	1.0	0.998
gene:TraesCS7B03G0016400	Chr7B	4122371	4124879	-	4123625	Chr7B	5311622	5314155	+	5312888	1.0	0.996
gene:TraesCS7B03G0016600	Chr7B	4173687	4176282	+	4174984	Chr7B	5257111	5259706	-	5258408	1.0	1.0
gene:TraesCS7B03G0017000	Chr7B	4217034	4218371	+	4217702	Chr7B	5218444	5219781	-	5219112	1.0	1.0
gene:TraesCS7B03G0017200	Chr7B	4228698	4230727	-	4229712	Chr7B	5205815	5207844	+	5206829	1.0	1.0
gene:TraesCS7B03G0017600	Chr7B	4338296	4345659	+	4341977	Chr7B	5090127	5097599	-	5093863	1.0	1.0
gene:TraesCS7B03G0017800	Chr7B	4425740	4431517	+	4428628	Chr7B	5004212	5009989	-	5007100	1.0	1.0
gene:TraesCS7B03G0017900	Chr7B	4469383	4469586	-	4469484	Chr7B	4966002	4966205	+	4966103	1.0	1.0
gene:TraesCS7B03G0018000	Chr7B	4477157	4481340	+	4479248	Chr7B	4953888	4958071	-	4955979	1.0	1.0
gene:TraesCS7B03G0018100	Chr7B	4533463	4533718	-	4533590	Chr7B	4901526	4901781	+	4901653	1.0	1.0
gene:TraesCS7B03G0018200	Chr7B	4646090	4652768	+	4649429	Chr7B	4788708	4795386	-	4792047	1.0	1.0
gene:TraesCS7B03G0018700	Chr7B	4939060	4939788	-	4939424	Chr7B	4499277	4500008	+	4499642	1.0	0.995
gene:TraesCS7B03G0018800	Chr7B	4949497	4950210	+	4949853	Chr7B	4488855	4489568	-	4489211	1.0	1.0
gene:TraesCS7B03G0019200	Chr7B	5228037	5231817	-	5229927	Chr7B	4206285	4210065	+	4208175	1.0	1.0
gene:TraesCS7B03G0019300	Chr7B	5234592	5237551	-	5236071	Chr7B	4200551	4203510	+	4202030	1.0	1.0
gene:TraesCS7B03G0019400	Chr7B	5241320	5245276	-	5243298	Chr7B	4192778	4196699	+	4194738	1.0	0.998
gene:TraesCS7B03G0019500	Chr7B	5387627	5391814	-	5389720	Chr7B	4036841	4041028	+	4038934	1.0	0.999
gene:TraesCS7B03G0019600	Chr7B	5391944	5395839	+	5393891	Chr7B	4032929	4036711	-	4034820	0.964	0.964
