gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	7117279	7122427	+	7119853	0.998	0.981
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	6040896	6046519	-	6043707	0.998	0.996
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	6037220	6040374	+	6038797	0.991	0.972
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	6016286	6020568	-	6018427	0.999	0.993
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	5458797	5459120	-	5458958	1.0	0.993
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	6491516	6496418	+	6493967	1.0	0.984
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	6619146	6620999	-	6620072	1.0	0.994
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	6634674	6637613	+	6636143	1.0	0.989
gene:TraesCS5B03G0009300	Chr5B	6274906	6278095	-	6276500	Chr5B	7759714	7763048	-	7761381	1.0	0.995
gene:TraesCS5B03G0009600	Chr5B	6421687	6425565	-	6423626	Chr5B	7844018	7847892	-	7845955	1.0	0.989
gene:TraesCS5B03G0009700	Chr5B	6450124	6464864	+	6457494	Chr5B	7872412	7887267	+	7879839	1.0	0.978
gene:TraesCS5B03G0009800	Chr5B	6475062	6478760	-	6476911	Chr5B	7897825	7901523	-	7899674	1.0	1.0
gene:TraesCS5B03G0009900	Chr5B	6523497	6531811	+	6527654	Chr5B	7946422	7955103	+	7950762	1.0	1.0
gene:TraesCS5B03G0010200	Chr5B	6557311	6558336	+	6557823	Chr5B	7980055	7981080	+	7980567	1.0	1.0
gene:TraesCS5B03G0010600	Chr5B	6627478	6644259	+	6635868	Chr5B	8050907	8067682	+	8059294	1.0	1.0
gene:TraesCS5B03G0011300	Chr5B	6679420	6682699	+	6681059	Chr5B	8098388	8101667	+	8100027	1.0	0.999
gene:TraesCS5B03G0011400	Chr5B	6701850	6705413	+	6703631	Chr5B	8120669	8124108	+	8122388	0.998	0.975
gene:TraesCS5B03G0011500	Chr5B	6706639	6711139	+	6708889	Chr5B	8124993	8129007	+	8127000	0.965	0.945
gene:TraesCS5B03G0013000	Chr5B	7024791	7026752	+	7025771	Chr5B	8905626	8907593	-	8906609	1.0	0.98
gene:TraesCS5B03G0012900	Chr5B	7022108	7032100	+	7027104	Chr5B	9570779	9589936	+	9580357	1.0	0.99
gene:TraesCS5B03G0013400	Chr5B	7077724	7083197	-	7080460	Chr5B	9633443	9638916	-	9636179	1.0	0.999
gene:TraesCS5B03G0013600	Chr5B	7124941	7128118	-	7126529	Chr5B	9680505	9682867	-	9681686	0.992	0.992
gene:TraesCS5B03G0013700	Chr5B	7175983	7176264	-	7176123	Chr5B	9730845	9731126	-	9730985	1.0	1.0
gene:TraesCS5B03G0014000	Chr5B	7204960	7205447	-	7205203	Chr5B	9760346	9760833	-	9760589	1.0	1.0
gene:TraesCS5B03G0014100	Chr5B	7240428	7241179	-	7240803	Chr5B	9795491	9796242	-	9795866	1.0	1.0
gene:TraesCS5B03G0014300	Chr5B	7359600	7360287	-	7359943	Chr5B	9916025	9916712	-	9916368	1.0	1.0
gene:TraesCS5B03G0014400	Chr5B	7410008	7410495	-	7410251	Chr5B	9967240	9967727	-	9967483	1.0	0.997
gene:TraesCS5B03G0014500	Chr5B	7437158	7437645	-	7437401	Chr5B	9994813	9995300	-	9995056	1.0	1.0
gene:TraesCS5B03G0014600	Chr5B	7592627	7597126	-	7594876	Chr5B	10150051	10154549	-	10152300	1.0	1.0
gene:TraesCS5B03G0014800	Chr5B	7755553	7759308	-	7757430	Chr5B	10312824	10316579	-	10314701	1.0	0.999
gene:TraesCS5B03G0015100	Chr5B	7985700	7994441	-	7990070	Chr5B	10549306	10558046	-	10553676	1.0	1.0
gene:TraesCS5B03G0015300	Chr5B	8044868	8056936	-	8050902	Chr5B	10608315	10620287	-	10614301	1.0	1.0
gene:TraesCS5B03G0015500	Chr5B	8136091	8146344	+	8141217	Chr5B	10699333	10709586	+	10704459	1.0	0.999
gene:TraesCS5B03G0015900	Chr5B	8231890	8236662	+	8234276	Chr5B	10760137	10764909	+	10762523	1.0	1.0
gene:TraesCS5B03G0016100	Chr5B	8246419	8248728	-	8247573	Chr5B	10774717	10777028	-	10775872	1.0	1.0
gene:TraesCS5B03G0016300	Chr5B	8403122	8405146	+	8404134	Chr5B	10929611	10931635	+	10930623	1.0	1.0
gene:TraesCS5B03G0016400	Chr5B	8412291	8414400	+	8413345	Chr5B	10938779	10940888	+	10939833	1.0	0.999
gene:TraesCS5B03G0017000	Chr5B	8435064	8439898	-	8437481	Chr5B	10961552	10966386	-	10963969	1.0	1.0
gene:TraesCS5B03G0017300	Chr5B	8578315	8592199	+	8585257	Chr5B	11107026	11121099	+	11114062	1.0	1.0
gene:TraesCS5B03G0017500	Chr5B	8592762	8599391	-	8596076	Chr5B	11121662	11128291	-	11124976	1.0	0.997
gene:TraesCS5B03G0017600	Chr5B	8929166	8931564	-	8930365	Chr5B	11445365	11447772	-	11446568	1.0	1.0
gene:TraesCS5B03G0018000	Chr5B	8959192	8973203	-	8966197	Chr5B	11475400	11489411	-	11482405	1.0	1.0
gene:TraesCS5B03G0018200	Chr5B	8987169	8989682	-	8988425	Chr5B	11506792	11509305	-	11508048	1.0	1.0
gene:TraesCS5B03G0018300	Chr5B	8990141	8990908	-	8990524	Chr5B	11509764	11510531	-	11510147	1.0	1.0
gene:TraesCS5B03G0018500	Chr5B	8999069	8999971	-	8999520	Chr5B	11518897	11519799	-	11519348	1.0	1.0
gene:TraesCS5B03G0019100	Chr5B	9063135	9063958	+	9063546	Chr5B	11583191	11584014	+	11583602	1.0	0.998
gene:TraesCS5B03G0019200	Chr5B	9094473	9094694	+	9094583	Chr5B	11614527	11614748	+	11614637	1.0	1.0
gene:TraesCS5B03G0019300	Chr5B	9098241	9101504	+	9099872	Chr5B	11618295	11621557	+	11619926	1.0	1.0
gene:TraesCS5B03G0019600	Chr5B	9270520	9274061	-	9272290	Chr5B	11791629	11795170	-	11793399	1.0	0.999
gene:TraesCS5B03G0019700	Chr5B	9291833	9292246	+	9292039	Chr5B	11813009	11813422	+	11813215	1.0	1.0
gene:TraesCS5B03G0019900	Chr5B	9309126	9311271	+	9310198	Chr5B	11830436	11832581	+	11831508	1.0	1.0
gene:TraesCS5B03G0020000	Chr5B	9311350	9315370	-	9313360	Chr5B	11832660	11836680	-	11834670	1.0	1.0
gene:TraesCS5B03G0020400	Chr5B	9346778	9347669	+	9347223	Chr5B	11857901	11858792	+	11858346	1.0	1.0
gene:TraesCS5B03G0020500	Chr5B	9350147	9351646	+	9350896	Chr5B	11861270	11862769	+	11862019	1.0	1.0
gene:TraesCS5B03G0020600	Chr5B	9380809	9382659	-	9381734	Chr5B	11892040	11893890	-	11892965	1.0	1.0
gene:TraesCS5B03G0020700	Chr5B	9403400	9406313	+	9404856	Chr5B	11914749	11917662	+	11916205	1.0	1.0
gene:TraesCS5B03G0020800	Chr5B	9468227	9470148	+	9469187	Chr5B	11976036	11977957	+	11976996	1.0	1.0
gene:TraesCS5B03G0021000	Chr5B	9571961	9572791	-	9572376	Chr5B	12081977	12082807	-	12082392	1.0	0.998
gene:TraesCS5B03G0021200	Chr5B	9587651	9588520	+	9588085	Chr5B	12097667	12098536	+	12098101	1.0	1.0
gene:TraesCS5B03G0021800	Chr5B	9717192	9720543	-	9718867	Chr5B	12223210	12226561	-	12224885	1.0	1.0
gene:TraesCS5B03G0022000	Chr5B	9855474	9864520	+	9859997	Chr5B	12361193	12370701	+	12365947	1.0	1.0
gene:TraesCS5B03G0022200	Chr5B	10106300	10110457	-	10108378	Chr5B	12614034	12618386	-	12616210	1.0	0.999
gene:TraesCS5B03G0022600	Chr5B	10214304	10220355	-	10217329	Chr5B	12723007	12729059	-	12726033	1.0	1.0
gene:TraesCS5B03G0022700	Chr5B	10307002	10310651	-	10308826	Chr5B	12815793	12819442	-	12817617	1.0	1.0
gene:TraesCS5B03G0022900	Chr5B	10391195	10392453	+	10391824	Chr5B	12901951	12903209	+	12902580	1.0	0.999
gene:TraesCS5B03G0023200	Chr5B	10474262	10476974	+	10475618	Chr5B	12985800	12988512	+	12987156	1.0	1.0
gene:TraesCS5B03G0023300	Chr5B	10483169	10487009	-	10485089	Chr5B	12994776	12998616	-	12996696	1.0	1.0
