cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr2A	500711	3143518	Chr2A	420658	4669280	17	0.9380588235294118
Chr2A	5300718	237897856	Chr2A	5671970	239098458	1760	0.98919375
Chr2A	260439994	260738141	Chr2A	261915920	262193366	4	0.998
Chr2A	283478083	286214975	Chr2A	284552974	287339003	5	0.9986
Chr2A	288400047	290885926	Chr2A	289670469	292317789	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	294839635	299706315	7	0.9907142857142858
Chr2A	304709700	310481732	Chr2A	306772323	312693724	7	0.996857142857143
Chr2A	313973952	315420835	Chr2A	316215158	317709199	3	0.9973333333333332
Chr2A	322290657	328918706	Chr2A	325723481	332550000	12	0.9946666666666668
Chr2A	333879690	337895321	Chr2A	340146969	344342012	8	0.997375
Chr2A	344692562	353369160	Chr2A	353408257	362203633	13	0.9968461538461538
Chr2A	355374656	366697851	Chr2A	364388735	375935678	20	0.99615
Chr2A	369112051	399870506	Chr2A	377730013	407782645	99	0.994979797979798
Chr2A	404353227	404817648	Chr2A	412680439	412876304	3	0.9943333333333334
Chr2A	409607272	490304153	Chr2A	417424588	498761457	269	0.996092936802974
Chr2A	492634434	551591979	Chr2A	501112172	559091589	312	0.9958365384615384
Chr2A	553651491	785143334	Chr2A	561174771	798133833	2427	0.9951639884631232
