gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS7D03G0119700	Chr7D	29684169	29685647	-	29684908	Chr7D	36963427	36964905	+	36964166	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0120300	Chr7D	29746885	29749567	+	29748226	Chr7D	36900392	36903074	-	36901733	1.0	0.999	rearrangement:Chr7D_block2
gene:TraesCS7D03G0120400	Chr7D	29761362	29763690	+	29762526	Chr7D	36886521	36888849	-	36887685	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0120600	Chr7D	29922949	29924843	-	29923896	Chr7D	36724393	36726287	+	36725340	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0121000	Chr7D	30019683	30021823	+	30020753	Chr7D	36655146	36657286	-	36656216	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0121200	Chr7D	30037340	30038044	+	30037692	Chr7D	36638925	36639629	-	36639277	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0122100	Chr7D	30227228	30228006	-	30227617	Chr7D	36057133	36057911	+	36057522	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0122400	Chr7D	30399062	30399760	-	30399411	Chr7D	35883984	35884682	+	35884333	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0122500	Chr7D	30605005	30609362	-	30607183	Chr7D	35671509	35675866	+	35673687	1.0	1.0	rearrangement:Chr7D_block2
gene:TraesCS7D03G0141100	Chr7D	35522760	35529128	+	35525944	Chr7D	30541122	30547614	-	30544368	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0141200	Chr7D	35534345	35537136	-	35535740	Chr7D	30533121	30535912	+	30534516	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0141600	Chr7D	35611850	35613574	-	35612712	Chr7D	30455252	30456976	+	30456114	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0141800	Chr7D	35683003	35683826	-	35683414	Chr7D	30384450	30385273	+	30384861	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0141900	Chr7D	35683924	35685270	-	35684597	Chr7D	30383006	30384352	+	30383679	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0142000	Chr7D	35695018	35695323	-	35695170	Chr7D	30373369	30373674	+	30373521	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0142200	Chr7D	35719174	35719620	+	35719397	Chr7D	30349049	30349495	-	30349272	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0142300	Chr7D	35753577	35757709	+	35755643	Chr7D	30310046	30314178	-	30312112	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0142500	Chr7D	35826850	35829699	+	35828274	Chr7D	30238324	30241173	-	30239748	1.0	1.0	rearrangement:Chr7D_block1
