cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	251109	83281985	760	0.9939131578947368
Chr4B	88370406	155154630	Chr4B	85507498	152725716	374	0.9956577540106952
Chr4B	157172475	164642854	Chr4B	154797672	162741782	12	0.9910833333333336
Chr4B	167236891	207224234	Chr4B	165235180	206650882	178	0.9967752808988763
Chr4B	212453315	225011972	Chr4B	211943776	224605802	34	0.9993529411764708
Chr4B	229815313	233299063	Chr4B	236697092	240197944	4	0.9995
Chr4B	294688008	296591676	Chr4B	303161921	311893437	4	1.0
Chr4B	299196258	302476126	Chr4B	307067253	311379281	5	0.9964
Chr4B	357330117	428374125	Chr4B	377714896	448560083	329	0.9957811550151976
Chr4B	430804721	673727606	Chr4B	451000637	696971288	1801	0.9960194336479734
