gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	4050500	4051654	+	4051077	1.0	0.999	collinear
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	3942318	3945544	-	3943931	1.0	1.0	collinear
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	3940523	3942147	+	3941335	1.0	1.0	collinear
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	3937979	3939297	+	3938638	1.0	0.998	collinear
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	3922792	3927654	-	3925223	1.0	1.0	collinear
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	3656550	3666320	-	3661435	1.0	1.0	collinear
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	3601679	3602314	+	3601996	1.0	1.0	collinear
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	3402966	3409096	+	3406031	1.0	1.0	collinear
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	3389869	3395105	+	3392487	1.0	0.999	collinear
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	3260911	3261437	-	3261174	1.0	1.0	collinear
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	3247177	3250600	-	3248888	0.997	0.997	collinear
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	3240737	3241511	-	3241124	1.0	1.0	collinear
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	3215476	3216809	+	3216142	1.0	1.0	collinear
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	3035860	3036255	-	3036057	1.0	1.0	collinear
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	2962685	2964529	+	2963607	1.0	1.0	collinear
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	2892088	2895312	-	2893700	1.0	1.0	collinear
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	2593981	2594455	+	2594218	1.0	1.0	collinear
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	2381691	2384153	-	2382922	0.935	0.935	collinear
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	2229547	2231398	+	2230472	1.0	1.0	collinear
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	2219201	2227763	+	2223482	1.0	1.0	collinear
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	2207682	2216678	+	2212180	1.0	1.0	collinear
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	2195944	2198851	+	2197397	1.0	1.0	collinear
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	2193514	2194809	+	2194161	1.0	1.0	collinear
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2064080	2068911	+	2066495	1.0	1.0	collinear
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	1951200	1958364	+	1954782	1.0	1.0	collinear
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	1695078	1704612	-	1699845	1.0	1.0	collinear
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	1689165	1694118	+	1691641	1.0	0.999	collinear
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	1559335	1562803	+	1561069	1.0	1.0	collinear
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	1552474	1553607	+	1553040	1.0	1.0	collinear
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	1487245	1488542	-	1487893	1.0	1.0	collinear
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	1470503	1472160	+	1471331	1.0	1.0	collinear
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	1464485	1465910	+	1465197	1.0	1.0	collinear
gene:TraesCS4A03G0005100	Chr4A	2731327	2733151	+	2732239	Chr4A	1367453	1369277	-	1368365	1.0	1.0	collinear
gene:TraesCS4A03G0005200	Chr4A	2767289	2768680	+	2767984	Chr4A	1331731	1333122	-	1332426	1.0	1.0	collinear
gene:TraesCS4A03G0005400	Chr4A	2778918	2779295	-	2779106	Chr4A	1321192	1321569	+	1321380	1.0	1.0	collinear
gene:TraesCS4A03G0005500	Chr4A	2783068	2789950	-	2786509	Chr4A	1310855	1317631	+	1314243	0.974	0.974	collinear
gene:TraesCS4A03G0005700	Chr4A	2896900	2897945	-	2897422	Chr4A	1204039	1205125	+	1204582	1.0	0.957	collinear
gene:TraesCS4A03G0005800	Chr4A	2930585	2932852	+	2931718	Chr4A	1171981	1174248	-	1173114	1.0	0.998	collinear
gene:TraesCS4A03G0006100	Chr4A	2934653	2937212	+	2935932	Chr4A	1167526	1170088	-	1168807	1.0	0.999	collinear
gene:TraesCS4A03G0006200	Chr4A	2936960	2940182	-	2938571	Chr4A	1164548	1167778	+	1166163	1.0	0.996	collinear
gene:TraesCS4A03G0006300	Chr4A	2942998	2949575	-	2946286	Chr4A	1154722	1161777	+	1158249	0.999	0.998	collinear
gene:TraesCS4A03G0006700	Chr4A	2964010	2964348	+	2964179	Chr4A	1129265	1129603	-	1129434	1.0	1.0	collinear
gene:TraesCS4A03G0006900	Chr4A	2973914	2984600	-	2979257	Chr4A	1107665	1118314	+	1112989	1.0	0.998	collinear
gene:TraesCS4A03G0007100	Chr4A	3050569	3055204	-	3052886	Chr4A	1036658	1041301	+	1038979	1.0	0.997	collinear
gene:TraesCS4A03G0007300	Chr4A	3066937	3070613	-	3068775	Chr4A	1020004	1023680	+	1021842	1.0	0.999	collinear
gene:TraesCS4A03G0007500	Chr4A	3096625	3101109	-	3098867	Chr4A	976568	981075	+	978821	1.0	0.998	collinear
gene:TraesCS4A03G0007600	Chr4A	3101459	3105097	-	3103278	Chr4A	972564	976218	+	974391	0.999	0.993	collinear
gene:TraesCS4A03G0007700	Chr4A	3107379	3109574	-	3108476	Chr4A	968220	970449	+	969334	0.976	0.929	collinear
gene:TraesCS4A03G0008000	Chr4A	3121834	3127155	-	3124494	Chr4A	950420	955672	+	953046	1.0	0.999	collinear
gene:TraesCS4A03G0008100	Chr4A	3129258	3135283	+	3132270	Chr4A	942242	948279	-	945260	1.0	0.998	collinear
gene:TraesCS4A03G0008200	Chr4A	3134254	3140594	-	3137424	Chr4A	936378	943271	+	939824	1.0	1.0	collinear
gene:TraesCS4A03G0008300	Chr4A	3205933	3206955	+	3206444	Chr4A	869721	870743	-	870232	1.0	1.0	collinear
gene:TraesCS4A03G0008400	Chr4A	3238765	3239608	+	3239186	Chr4A	837665	838508	-	838086	1.0	1.0	collinear
gene:TraesCS4A03G0008600	Chr4A	3261415	3263213	+	3262314	Chr4A	807333	809131	-	808232	1.0	1.0	collinear
gene:TraesCS4A03G0008700	Chr4A	3326425	3327669	+	3327047	Chr4A	735705	736949	-	736327	1.0	1.0	collinear
gene:TraesCS4A03G0009200	Chr4A	3354842	3356422	+	3355632	Chr4A	706388	707968	-	707178	1.0	1.0	collinear
gene:TraesCS4A03G0009300	Chr4A	3365529	3365927	-	3365728	Chr4A	696883	697281	+	697082	1.0	1.0	collinear
gene:TraesCS4A03G0009500	Chr4A	3372257	3373213	+	3372735	Chr4A	689597	690553	-	690075	1.0	1.0	collinear
gene:TraesCS4A03G0010000	Chr4A	3426660	3429932	+	3428296	Chr4A	632664	635936	-	634300	1.0	1.0	collinear
gene:TraesCS4A03G0010100	Chr4A	3430702	3432528	+	3431615	Chr4A	630068	631894	-	630981	1.0	1.0	collinear
gene:TraesCS4A03G0010400	Chr4A	3781940	3782996	+	3782468	Chr4A	279703	280759	-	280231	1.0	1.0	collinear
gene:TraesCS4A03G0010500	Chr4A	3851393	3859754	-	3855573	Chr4A	203162	211523	+	207342	1.0	1.0	collinear
gene:TraesCS4A03G0010700	Chr4A	3982734	3986342	-	3984538	Chr4A	76286	79940	+	78113	1.0	1.0	collinear
gene:TraesCS4A03G0011000	Chr4A	4137896	4141435	+	4139665	Chr4A	5087367	5090906	+	5089136	1.0	1.0	collinear
gene:TraesCS4A03G0011100	Chr4A	4172321	4175894	-	4174107	Chr4A	5121994	5125567	-	5123780	1.0	1.0	collinear
gene:TraesCS4A03G0011200	Chr4A	4219071	4222355	-	4220713	Chr4A	5169032	5172316	-	5170674	1.0	1.0	collinear
gene:TraesCS4A03G0011700	Chr4A	4444831	4448386	-	4446608	Chr4A	5407078	5410627	-	5408852	0.998	0.985	collinear
gene:TraesCS4A03G0011800	Chr4A	4499291	4504470	-	4501880	Chr4A	5461781	5467422	-	5464601	1.0	1.0	collinear
