cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr4A	64962344	67883069	Chr4A	79424503	82381859	22	0.9917727272727273
Chr4A	255891836	264172555	Chr4A	304822165	313165431	14	0.9993571428571429
Chr4A	266692038	291455005	Chr4A	247797523	331037205	36	0.9987500000000001
Chr4A	293591696	312125594	Chr4A	257970171	276655522	26	0.9995384615384615
Chr4A	317950774	326248331	Chr4A	282492327	290951434	52	0.9991346153846153
Chr4A	81328	52597423	Chr4A	78113	53772650	561	0.9959340463458112
Chr4A	55544875	64583830	Chr4A	57417704	66714312	74	0.9938108108108108
Chr4A	67979518	77406003	Chr4A	69890985	79339468	67	0.9933880597014926
Chr4A	81244931	130332624	Chr4A	82774156	131830604	278	0.9944388489208633
Chr4A	132517055	192330869	Chr4A	133886078	193678587	261	0.9981226053639847
Chr4A	194997349	219652885	Chr4A	196356194	221048238	45	0.9988444444444444
Chr4A	221731546	222175913	Chr4A	223164894	223634310	3	1.0
Chr4A	224910983	226677182	Chr4A	226418525	228206020	4	0.99975
Chr4A	229114346	242431315	Chr4A	230638091	244038446	21	0.9995714285714286
Chr4A	328283933	333487928	Chr4A	333677078	338919400	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	343431114	354948511	22	0.999909090909091
Chr4A	351426691	353020297	Chr4A	357080320	358693793	4	0.99975
Chr4A	355676988	358739297	Chr4A	361376468	364441189	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	366913944	370448602	5	0.9892
Chr4A	372955440	386206032	Chr4A	378767344	392089998	15	0.9956666666666667
Chr4A	388345576	389986218	Chr4A	394223661	395867328	3	1.0
Chr4A	394095303	397542408	Chr4A	399995885	403498520	6	1.0
Chr4A	399782828	400323386	Chr4A	405736891	406290140	3	0.999
Chr4A	406605144	419576751	Chr4A	412594051	425596056	17	0.9954117647058824
Chr4A	421807811	507495678	Chr4A	427863531	513700647	414	0.9975096618357487
Chr4A	509609425	602978264	Chr4A	515857065	608926820	938	0.9972420042643924
Chr4A	606073951	641040255	Chr4A	609467689	648345035	450	0.9943377777777778
Chr4A	662543930	671686250	Chr4A	665609932	676637485	93	0.9882473118279568
Chr4A	688562054	754073777	Chr4A	696890985	754258546	610	0.990583606557377
Chr4A	641496064	662507468	Chr4A	676671148	696780149	119	0.9961512605042018
Chr4A	671839175	688424293	Chr4A	648412694	665444258	192	0.994328125
