gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS3D03G0043500	Chr3D	8239258	8242083	+	8240670	Chr3D	18425518	18428343	+	18426930	1.0	1.0
gene:TraesCS3D03G0043600	Chr3D	8277487	8280089	+	8278788	Chr3D	18463746	18466348	+	18465047	1.0	1.0
gene:TraesCS3D03G0043700	Chr3D	8320259	8321415	+	8320837	Chr3D	18505295	18506451	+	18505873	1.0	1.0
gene:TraesCS3D03G0043900	Chr3D	8328071	8333098	-	8330584	Chr3D	18513393	18518420	-	18515906	1.0	1.0
gene:TraesCS3D03G0044100	Chr3D	8356379	8357707	+	8357043	Chr3D	18542007	18543335	+	18542671	1.0	1.0
gene:TraesCS3D03G0044200	Chr3D	8372701	8373950	+	8373325	Chr3D	18560553	18561802	+	18561177	1.0	1.0
gene:TraesCS3D03G0044300	Chr3D	8426587	8429482	+	8428034	Chr3D	18624598	18627493	+	18626045	1.0	1.0
gene:TraesCS3D03G0044600	Chr3D	8487360	8497127	-	8492243	Chr3D	18678594	18688363	-	18683478	1.0	1.0
gene:TraesCS3D03G0044700	Chr3D	8505458	8522068	-	8513763	Chr3D	18696114	18712722	-	18704418	1.0	1.0
gene:TraesCS3D03G0045000	Chr3D	8552322	8561666	+	8556994	Chr3D	18743780	18753124	+	18748452	1.0	1.0
gene:TraesCS3D03G0045300	Chr3D	8683024	8688361	-	8685692	Chr3D	18875653	18880990	-	18878321	1.0	1.0
gene:TraesCS3D03G0045500	Chr3D	8812791	8813102	-	8812946	Chr3D	18998546	18998857	-	18998701	1.0	1.0
gene:TraesCS3D03G0045600	Chr3D	8820162	8829812	-	8824987	Chr3D	19006190	19015838	-	19011014	0.999	0.999
gene:TraesCS3D03G0045700	Chr3D	8832917	8833534	-	8833225	Chr3D	19019076	19019693	-	19019384	1.0	1.0
gene:TraesCS3D03G0045800	Chr3D	8837581	8838578	+	8838079	Chr3D	19023740	19024737	+	19024238	1.0	1.0
