gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	3498040	3498995	+	3498517	1.0	0.949
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	2191193	2193751	-	2192472	1.0	0.988
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	2255468	2256870	+	2256169	1.0	0.915
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	2634551	2635514	+	2635032	0.997	0.904
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	1873645	1875486	+	1874565	1.0	0.989
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	1961856	1964979	-	1963417	1.0	0.994
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	1976064	1976840	+	1976452	1.0	0.993
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	2909434	2921241	+	2915337	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	2950722	2955351	+	2953036	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	3089260	3150306	-	3119783	0.999	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	3155399	3157896	-	3156647	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	3306527	3367540	-	3337033	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	3432880	3434720	+	3433800	1.0	0.997
gene:TraesCS6B03G0008100	Chr6B	2581651	2582883	-	2582267	Chr6B	1415326	1416558	-	1415942	1.0	0.98
gene:TraesCS6B03G0009700	Chr6B	3189981	3196826	-	3193403	Chr6B	1269068	1277384	+	1273226	0.986	0.908
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	832144	832941	-	832542	1.0	0.982
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	514007	514444	-	514225	1.0	0.986
gene:TraesCS6B03G0011100	Chr6B	3878854	3880441	+	3879647	Chr6B	1643375	1644967	+	1644171	0.998	0.972
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	3534089	3535044	+	3534566	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	3544734	3545660	+	3545197	1.0	0.987
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	3549220	3553631	-	3551425	1.0	1.0
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	3569560	3570549	-	3570054	0.99	0.947
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	3577018	3577432	+	3577225	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	3626705	3627679	+	3627192	0.995	0.948
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	3867114	3871864	+	3869489	0.998	0.991
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	3891023	3897707	+	3894365	1.0	0.998
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	3903670	3904347	+	3904008	1.0	0.997
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	3925794	3931899	+	3928846	1.0	0.995
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	3977700	3985299	+	3981499	1.0	0.993
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	4149875	4152867	+	4151371	1.0	0.971
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	4179877	4182073	+	4180975	0.934	0.907
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	4360018	4364259	-	4362138	0.974	0.936
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	4574476	4578744	+	4576610	0.921	0.9
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	4582142	4584014	+	4583078	0.997	0.979
gene:TraesCS6B03G0017100	Chr6B	5277081	5279442	-	5278261	Chr6B	4583862	4588768	-	4586315	0.979	0.946
gene:TraesCS6B03G0018500	Chr6B	5432365	5434175	-	5433270	Chr6B	4166918	4168593	+	4167755	0.993	0.901
gene:TraesCS6B03G0018700	Chr6B	5530350	5532958	-	5531654	Chr6B	4829975	4832580	-	4831277	1.0	0.996
gene:TraesCS6B03G0019200	Chr6B	5580392	5588578	-	5584485	Chr6B	4851876	4874601	-	4863238	0.998	0.993
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	4911302	4912168	-	4911735	1.0	0.991
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	5162861	5172814	-	5167837	0.994	0.966
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	5185212	5185715	+	5185463	1.0	0.987
