cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr2B	31439	130983126	Chr2B	144840	128736061	1392	0.9953563218390804
Chr2B	137271666	211003478	Chr2B	129840923	201967011	557	0.9943195691202872
Chr2B	213718220	248272484	Chr2B	202069042	236113521	206	0.9934223300970872
Chr2B	250482935	283157104	Chr2B	238589187	271677091	144	0.9949305555555554
Chr2B	285496966	296221381	Chr2B	274048759	295002979	17	0.9961176470588232
Chr2B	298249790	300169290	Chr2B	285358992	287360481	3	0.999
Chr2B	311093602	313513906	Chr2B	301640322	304102686	5	0.9932
Chr2B	318431746	331681179	Chr2B	307172648	329423996	17	0.9971764705882354
Chr2B	333809245	338122138	Chr2B	321908037	326239631	7	0.998142857142857
Chr2B	342667723	346552298	Chr2B	331145096	335132006	6	0.9983333333333334
Chr2B	348999066	355740303	Chr2B	336987808	343713226	9	0.9948888888888888
Chr2B	360072831	363706950	Chr2B	347336837	360020517	5	0.9978
Chr2B	365734406	372285445	Chr2B	362160056	375587815	34	0.9955588235294118
Chr2B	375478260	797227701	Chr2B	365893293	783305679	2945	0.99243259762309
Chr2B	803440716	804139719	Chr2B	784325324	785263175	10	0.9696
Chr2B	806942906	808764265	Chr2B	788924827	790616200	33	0.9989090909090907
