gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity
gene:TraesCS6D03G0014800	Chr6D	2817020	2819252	+	2818136	Chr6D	4858031	4860263	-	4859147	1.0	0.999
gene:TraesCS6D03G0014900	Chr6D	2831086	2832280	+	2831683	Chr6D	4844824	4846018	-	4845421	1.0	0.996
gene:TraesCS6D03G0015000	Chr6D	2854348	2871319	-	2862833	Chr6D	4806000	4822659	+	4814329	1.0	0.905
gene:TraesCS6D03G0015300	Chr6D	2886437	2890407	+	2888422	Chr6D	4787015	4790985	-	4789000	1.0	1.0
gene:TraesCS6D03G0015400	Chr6D	2895434	2897880	+	2896657	Chr6D	4779543	4781989	-	4780766	1.0	0.999
gene:TraesCS6D03G0015700	Chr6D	2910492	2913432	+	2911962	Chr6D	4763991	4766931	-	4765461	1.0	1.0
gene:TraesCS6D03G0015800	Chr6D	2918728	2920608	+	2919668	Chr6D	4756816	4758695	-	4757755	1.0	0.998
gene:TraesCS6D03G0016000	Chr6D	2954763	2957526	-	2956144	Chr6D	4720291	4723054	+	4721672	1.0	1.0
gene:TraesCS6D03G0016200	Chr6D	2979470	2992784	-	2986127	Chr6D	4685457	4698690	+	4692073	1.0	1.0
gene:TraesCS6D03G0016500	Chr6D	3014273	3017041	-	3015657	Chr6D	4661010	4663778	+	4662394	1.0	0.998
gene:TraesCS6D03G0016600	Chr6D	3023887	3025392	-	3024639	Chr6D	4652452	4653957	+	4653204	1.0	1.0
gene:TraesCS6D03G0016800	Chr6D	3036582	3039393	-	3037987	Chr6D	4638647	4641458	+	4640052	1.0	1.0
gene:TraesCS6D03G0016900	Chr6D	3046129	3052058	-	3049093	Chr6D	4626329	4632258	+	4629293	1.0	1.0
gene:TraesCS6D03G0017000	Chr6D	3073668	3076208	-	3074938	Chr6D	4602170	4604710	+	4603440	1.0	1.0
gene:TraesCS6D03G0017200	Chr6D	3140837	3142923	-	3141880	Chr6D	4533952	4536038	+	4534995	1.0	1.0
gene:TraesCS6D03G0017300	Chr6D	3159367	3163246	+	3161306	Chr6D	4514005	4517766	-	4515885	1.0	1.0
gene:TraesCS6D03G0017400	Chr6D	3271951	3276380	+	3274165	Chr6D	4400337	4404766	-	4402551	1.0	1.0
gene:TraesCS6D03G0017700	Chr6D	3314006	3317537	+	3315771	Chr6D	4358863	4362393	-	4360628	1.0	1.0
gene:TraesCS6D03G0017800	Chr6D	3344049	3346451	-	3345250	Chr6D	4329418	4331820	+	4330619	1.0	0.999
gene:TraesCS6D03G0017900	Chr6D	3419789	3420698	-	3420243	Chr6D	4252569	4253478	+	4253023	1.0	1.0
gene:TraesCS6D03G0018200	Chr6D	3444220	3445174	-	3444697	Chr6D	4228052	4229006	+	4228529	1.0	1.0
gene:TraesCS6D03G0018300	Chr6D	3458684	3459645	-	3459164	Chr6D	4213581	4214542	+	4214061	1.0	1.0
gene:TraesCS6D03G0018400	Chr6D	3461732	3462531	-	3462131	Chr6D	4210695	4211494	+	4211094	1.0	1.0
gene:TraesCS6D03G0018500	Chr6D	3470392	3470754	-	3470573	Chr6D	4202669	4203031	+	4202850	1.0	1.0
gene:TraesCS6D03G0018800	Chr6D	3480053	3481945	-	3480999	Chr6D	4191072	4192964	+	4192018	1.0	1.0
gene:TraesCS6D03G0018900	Chr6D	3540987	3544172	-	3542579	Chr6D	4162255	4165440	+	4163847	1.0	1.0
gene:TraesCS6D03G0019100	Chr6D	3639176	3645079	+	3642127	Chr6D	4061534	4067438	-	4064486	1.0	1.0
gene:TraesCS6D03G0019200	Chr6D	3648853	3650436	+	3649644	Chr6D	4056177	4057760	-	4056968	1.0	1.0
gene:TraesCS6D03G0019300	Chr6D	3652408	3655251	-	3653829	Chr6D	4051633	4054476	+	4053054	1.0	1.0
gene:TraesCS6D03G0019400	Chr6D	3659436	3659831	-	3659633	Chr6D	4047053	4047448	+	4047250	1.0	1.0
gene:TraesCS6D03G0019800	Chr6D	3843522	3844579	+	3844050	Chr6D	3897384	3898441	-	3897912	1.0	1.0
gene:TraesCS6D03G0019900	Chr6D	3872196	3874213	-	3873204	Chr6D	3867449	3869466	+	3868457	1.0	1.0
gene:TraesCS6D03G0020000	Chr6D	3872727	3874256	-	3873491	Chr6D	3867406	3868935	+	3868170	1.0	1.0
gene:TraesCS6D03G0020200	Chr6D	3885246	3891694	-	3888470	Chr6D	3849823	3856270	+	3853046	1.0	1.0
gene:TraesCS6D03G0020300	Chr6D	3998677	4002797	-	4000737	Chr6D	3737118	3741236	+	3739177	1.0	1.0
gene:TraesCS6D03G0020600	Chr6D	4107775	4114930	-	4111352	Chr6D	3624349	3631504	+	3627926	1.0	1.0
gene:TraesCS6D03G0020700	Chr6D	4127823	4145771	-	4136797	Chr6D	3593663	3611047	+	3602355	1.0	1.0
gene:TraesCS6D03G0021300	Chr6D	4222364	4224863	+	4223613	Chr6D	3513289	3515788	-	3514538	1.0	1.0
gene:TraesCS6D03G0021400	Chr6D	4224996	4225853	-	4225424	Chr6D	3512299	3513156	+	3512727	1.0	1.0
gene:TraesCS6D03G0021500	Chr6D	4226577	4227179	-	4226878	Chr6D	3510973	3511575	+	3511274	1.0	0.998
gene:TraesCS6D03G0021700	Chr6D	4233621	4237386	+	4235503	Chr6D	3500306	3504073	-	3502189	0.998	0.99
gene:TraesCS6D03G0022400	Chr6D	4304708	4307661	-	4306184	Chr6D	3455184	3458144	+	3456664	1.0	0.994
gene:TraesCS6D03G0023600	Chr6D	4514970	4516166	+	4515568	Chr6D	3330490	3331680	-	3331085	0.994	0.974
gene:TraesCS6D03G0023800	Chr6D	4533591	4537917	+	4535754	Chr6D	3297455	3301906	-	3299680	1.0	0.985
gene:TraesCS6D03G0024100	Chr6D	4577257	4577658	-	4577457	Chr6D	3261137	3261538	+	3261337	1.0	0.995
gene:TraesCS6D03G0024200	Chr6D	4581564	4582360	-	4581962	Chr6D	3256786	3257582	+	3257184	1.0	1.0
gene:TraesCS6D03G0024300	Chr6D	4587414	4588758	-	4588086	Chr6D	3250386	3251730	+	3251058	1.0	1.0
gene:TraesCS6D03G0024700	Chr6D	4601769	4625926	-	4613847	Chr6D	3213525	3237377	+	3225451	1.0	1.0
gene:TraesCS6D03G0024800	Chr6D	4658322	4662324	-	4660323	Chr6D	3174837	3178835	+	3176836	1.0	1.0
gene:TraesCS6D03G0024900	Chr6D	4675833	4680495	+	4678164	Chr6D	3156145	3160807	-	3158476	1.0	1.0
gene:TraesCS6D03G0025100	Chr6D	4692810	4695180	+	4693995	Chr6D	3141460	3143830	-	3142645	1.0	0.999
gene:TraesCS6D03G0025200	Chr6D	4695259	4698006	+	4696632	Chr6D	3138636	3141381	-	3140008	1.0	1.0
gene:TraesCS6D03G0025300	Chr6D	4772555	4774774	-	4773664	Chr6D	3062239	3064458	+	3063348	1.0	1.0
gene:TraesCS6D03G0025400	Chr6D	4785676	4787829	-	4786752	Chr6D	3049015	3051168	+	3050091	1.0	1.0
gene:TraesCS6D03G0025500	Chr6D	4798829	4800862	-	4799845	Chr6D	3036270	3038303	+	3037286	1.0	1.0
gene:TraesCS6D03G0025600	Chr6D	4854634	4856985	-	4855809	Chr6D	2996190	2998541	+	2997365	1.0	1.0
gene:TraesCS6D03G0025700	Chr6D	4907721	4910033	-	4908877	Chr6D	2943178	2945490	+	2944334	1.0	0.999
gene:TraesCS6D03G0025800	Chr6D	4912501	4913607	-	4913054	Chr6D	2940106	2941212	+	2940659	1.0	1.0
gene:TraesCS6D03G0025900	Chr6D	4972627	4974279	+	4973453	Chr6D	2875090	2876742	-	2875916	1.0	1.0
gene:TraesCS6D03G0026200	Chr6D	5069423	5071727	+	5070575	Chr6D	2776584	2778888	-	2777736	1.0	1.0
gene:TraesCS6D03G0026700	Chr6D	5190029	5198108	+	5194068	Chr6D	2649217	2657192	-	2653204	0.999	0.987
gene:TraesCS6D03G0026800	Chr6D	5209297	5215286	+	5212291	Chr6D	2631492	2637481	-	2634486	1.0	0.999
gene:TraesCS6D03G0026900	Chr6D	5221538	5225268	-	5223403	Chr6D	2621190	2625022	+	2623106	1.0	1.0
gene:TraesCS6D03G0027300	Chr6D	5279686	5283329	-	5281507	Chr6D	2561495	2565473	+	2563484	0.999	0.977
