cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	100654	164596438	1460	0.9944267123287671
Chr6A	169123596	174751019	Chr6A	168176098	173858089	29	0.9996896551724139
Chr6A	177010402	237636332	Chr6A	176128154	236510574	200	0.9988600000000001
Chr6A	243810148	244731119	Chr6A	242643550	243484050	3	0.9946666666666667
Chr6A	251103689	255370132	Chr6A	249813001	254063133	8	0.9975
Chr6A	257566273	264313435	Chr6A	256258625	262737449	21	0.9949047619047621
Chr6A	266482395	275860435	Chr6A	264944452	274541359	21	0.9926666666666667
Chr6A	278883582	290338890	Chr6A	277681910	289457289	15	0.9975333333333334
Chr6A	293863739	319731587	Chr6A	293609054	321229494	28	0.9951785714285714
Chr6A	323819925	326827584	Chr6A	325384869	328375789	8	0.9974999999999999
Chr6A	328915123	332571498	Chr6A	330518815	334154281	6	0.997
Chr6A	334687288	346665213	Chr6A	336213974	348619293	16	0.99325
Chr6A	349035941	349057392	Chr6A	351033688	351057920	3	0.9986666666666667
Chr6A	354380382	355885891	Chr6A	356441782	357937290	4	0.9970000000000001
Chr6A	357954045	410556392	Chr6A	359914524	412043705	144	0.9976527777777778
Chr6A	424744874	429394472	Chr6A	425232672	429709018	18	0.9952222222222221
Chr6A	442130717	528717530	Chr6A	442916128	529510165	592	0.9980016891891892
Chr6A	530890411	578016424	Chr6A	531693966	578994539	454	0.9971916299559472
Chr6A	580416802	615575014	Chr6A	580558718	617636654	573	0.991975567190227
Chr6A	617785445	622584375	Chr6A	618513476	623803220	74	0.9882432432432434
Chr6A	411593066	424236573	Chr6A	430206631	442622479	49	0.9967142857142857
Chr6A	429620832	441760406	Chr6A	413166575	425005015	50	0.99524
Chr6A	616237761	617158232	Chr6A	624179302	625534336	31	0.9699677419354837
