cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	319151	9986500	106	0.9863396226415093
Chr3B	10012714	35821190	Chr3B	7734215	37386357	314	0.9900955414012739
Chr3B	38137652	97070979	Chr3B	39723120	96796585	512	0.99025
Chr3B	99457041	202823600	Chr3B	99173062	204215076	587	0.9962623509369677
Chr3B	205225044	206704475	Chr3B	206723355	208266809	11	0.9982727272727273
Chr3B	209383926	219278363	Chr3B	211139214	221101714	81	0.9949753086419751
Chr3B	223825022	226529934	Chr3B	225861735	228345149	11	0.9937272727272728
Chr3B	230843333	241641396	Chr3B	231586235	242696395	49	0.9920816326530613
Chr3B	247259756	252230925	Chr3B	250550462	255649484	45	0.9968888888888888
Chr3B	256032319	288293953	Chr3B	257318221	290523184	127	0.9939212598425198
Chr3B	295003050	296080909	Chr3B	297423389	298562839	4	0.9985
Chr3B	303571170	307711148	Chr3B	304683498	309361417	4	0.9964999999999999
Chr3B	310640808	322569052	Chr3B	312902628	326043920	16	0.9965625
Chr3B	325241568	329207761	Chr3B	328677981	333283662	5	0.9972
Chr3B	333847811	350060262	Chr3B	338004288	355128893	24	0.9940416666666666
Chr3B	352247049	358032335	Chr3B	357340726	363105745	9	0.9935555555555555
Chr3B	361079202	363586354	Chr3B	371821522	374256862	5	0.9949999999999999
Chr3B	366426971	367632915	Chr3B	375868193	378402698	8	0.99475
Chr3B	418922290	479798592	Chr3B	428537491	490092395	355	0.9966281690140845
Chr3B	482733323	516890208	Chr3B	494057445	528456385	192	0.9938750000000001
Chr3B	524735616	527781257	Chr3B	536474649	537854260	19	0.9871578947368421
Chr3B	534283586	614030010	Chr3B	537929881	616466093	561	0.9947415329768272
Chr3B	617794584	851872904	Chr3B	621601477	856490760	2010	0.9943203980099502
