cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	33082	138831484	1361	0.9948486407053637
Chr3A	142385461	192745740	Chr3A	140958322	190860662	215	0.997939534883721
Chr3A	195861474	263087799	Chr3A	193998451	261243839	204	0.9993823529411765
Chr3A	270762150	278734659	Chr3A	268936826	276942841	12	0.9976666666666668
Chr3A	280899243	284859700	Chr3A	279136129	283076701	6	0.999
Chr3A	286968946	294756278	Chr3A	285231598	293004378	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	299062211	304111705	6	0.9958333333333335
Chr3A	307569651	328087198	Chr3A	306466308	327233755	26	0.9995769230769231
Chr3A	331805909	349096037	Chr3A	333919390	351480276	29	0.9964137931034484
Chr3A	351562540	354510700	Chr3A	353895475	356842174	8	0.9995
Chr3A	357146906	360275758	Chr3A	359520887	362648351	6	0.9998333333333335
Chr3A	362401176	753096583	Chr3A	364775313	758938942	3033	0.9964787339268051
