cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr5B	18593	1210913	Chr5B	5458958	7119853	8	0.9877499999999999
Chr5B	6276500	150623157	Chr5B	7761381	154862666	947	0.996182682154171
Chr5B	153027140	156551532	Chr5B	157159549	161256431	8	0.9984999999999999
Chr5B	158568371	169148558	Chr5B	162356988	172826012	18	0.9979999999999999
Chr5B	193712534	194129805	Chr5B	197808601	198237953	3	0.9986666666666667
Chr5B	206148489	210013347	Chr5B	210382994	214315270	7	0.998142857142857
Chr5B	222313523	239465934	Chr5B	229956097	247505884	70	0.9923285714285713
Chr5B	241488361	344742710	Chr5B	249334287	353046856	575	0.9977652173913042
Chr5B	346985936	386215007	Chr5B	355305813	394807259	215	0.9972697674418605
Chr5B	389314561	415604247	Chr5B	395064397	421436828	199	0.9958391959798994
Chr5B	417734794	711771080	Chr5B	423098130	713907374	2891	0.9918886198547217
