cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr3D	8240670	11774903	Chr3D	18426930	21984447	78	0.9987692307692307
Chr3D	21214157	116955327	Chr3D	28885244	127212377	961	0.9992185223725286
Chr3D	119094314	145655212	Chr3D	129348092	155994566	159	0.9983647798742139
Chr3D	147725835	194192900	Chr3D	158073898	204644357	256	0.99946875
Chr3D	197544325	200969144	Chr3D	207973668	211420418	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	213751510	213788186	4	1.0
Chr3D	207531742	214535149	Chr3D	218062693	225069056	11	0.9990000000000001
Chr3D	216957444	220088873	Chr3D	227507828	230603299	6	0.9994999999999999
Chr3D	226016244	232933791	Chr3D	236688329	243631218	13	0.9992307692307693
Chr3D	235055553	258632836	Chr3D	245757933	269378015	42	0.9988809523809524
Chr3D	260879965	440598505	Chr3D	271627926	451827476	1173	0.9989846547314578
Chr3D	473703922	478386279	Chr3D	484155605	488842968	40	0.99925
Chr3D	510319269	618980281	Chr3D	522124178	628016642	1400	0.9972599999999998
