cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr7A	1987506	5820934	Chr7A	10129403	13870666	73	0.9910136986301371
Chr7A	150446304	159408479	Chr7A	164356247	174166944	63	0.9947142857142857
Chr7A	166120232	177718876	Chr7A	147047346	158261650	94	0.9949468085106383
Chr7A	239033	1760198	Chr7A	2949320	4324106	27	0.9962962962962963
Chr7A	5753039	11830447	Chr7A	5178917	9772070	78	0.9750769230769232
Chr7A	15305531	74955432	Chr7A	13900269	72452593	694	0.9939365994236312
Chr7A	77011021	149795904	Chr7A	74055368	146309785	680	0.9964220588235294
Chr7A	159414879	164867228	Chr7A	158275511	164349687	42	0.9922857142857143
Chr7A	176812931	316231457	Chr7A	174961079	313436143	688	0.9972296511627907
Chr7A	318780197	364830171	Chr7A	315937976	362219601	84	0.9988928571428571
Chr7A	367537951	393376082	Chr7A	367479950	393382743	36	0.9994444444444446
Chr7A	396497557	535750726	Chr7A	396478180	537431999	600	0.9978450000000002
Chr7A	553472216	558772743	Chr7A	554357953	559678483	28	0.9991428571428571
Chr7A	575144228	632839019	Chr7A	577781065	636097543	383	0.9916057441253263
Chr7A	634937911	744483656	Chr7A	636574789	742878236	1207	0.9951723280861641
Chr7A	536485504	553301211	Chr7A	559856638	576972793	167	0.9980059880239521
Chr7A	559340942	574050616	Chr7A	538851997	553788788	134	0.9986865671641793
