gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	418865	422452	+	420658	0.955	0.908	collinear
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	599835	602750	-	601292	1.0	0.974	collinear
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	2639463	2641438	+	2640450	0.99	0.931	collinear
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	4203648	4207870	+	4205759	0.991	0.909	collinear
gene:TraesCS2A03G0009300	Chr2A	2428724	2429761	+	2429242	Chr2A	3067872	3068909	-	3068390	1.0	0.972	collinear
gene:TraesCS2A03G0009500	Chr2A	2440261	2441887	+	2441074	Chr2A	2872958	2874571	+	2873764	0.995	0.931	collinear
gene:TraesCS2A03G0009600	Chr2A	2465197	2465597	+	2465397	Chr2A	2982311	2982716	-	2982513	1.0	0.98	collinear
gene:TraesCS2A03G0009700	Chr2A	2468253	2470255	+	2469254	Chr2A	2977977	2979962	-	2978969	0.991	0.94	collinear
gene:TraesCS2A03G0009900	Chr2A	2525506	2529129	-	2527317	Chr2A	2940624	2944299	+	2942461	0.967	0.911	collinear
gene:TraesCS2A03G0011800	Chr2A	2917337	2922033	-	2919685	Chr2A	3041873	3046557	-	3044215	0.996	0.946	collinear
gene:TraesCS2A03G0012300	Chr2A	3008654	3011759	+	3010206	Chr2A	3492621	3495973	+	3494297	1.0	0.944	collinear
gene:TraesCS2A03G0012800	Chr2A	3043315	3044607	+	3043961	Chr2A	4533375	4534652	+	4534013	0.987	0.918	collinear
gene:TraesCS2A03G0013100	Chr2A	3075260	3076925	-	3076092	Chr2A	4545021	4546645	-	4545833	0.967	0.93	collinear
gene:TraesCS2A03G0013200	Chr2A	3088656	3089379	-	3089017	Chr2A	4631127	4631857	-	4631492	1.0	0.938	collinear
gene:TraesCS2A03G0013400	Chr2A	3094221	3094934	+	3094577	Chr2A	4636990	4637697	+	4637343	0.991	0.936	collinear
gene:TraesCS2A03G0013500	Chr2A	3102186	3102581	+	3102383	Chr2A	4644117	4644515	+	4644316	0.992	0.95	collinear
gene:TraesCS2A03G0013700	Chr2A	3141719	3145318	+	3143518	Chr2A	4667372	4671189	+	4669280	0.976	0.929	collinear
gene:TraesCS2A03G0017700	Chr2A	5297982	5303454	+	5300718	Chr2A	5668691	5675249	+	5671970	0.977	0.94	collinear
gene:TraesCS2A03G0019500	Chr2A	5605896	5606282	-	5606089	Chr2A	5809508	5809894	+	5809701	1.0	0.974	collinear
gene:TraesCS2A03G0020500	Chr2A	5645108	5647672	+	5646390	Chr2A	5980080	5982650	+	5981365	1.0	0.966	collinear
gene:TraesCS2A03G0020900	Chr2A	5684343	5694560	-	5689451	Chr2A	6021008	6031666	-	6026337	0.937	0.913	collinear
gene:TraesCS2A03G0021400	Chr2A	5808896	5812466	+	5810681	Chr2A	6148544	6151892	+	6150218	0.989	0.955	collinear
