cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr1A	55218	159522669	Chr1A	16840	158260919	1163	0.9957996560619087
Chr1A	161671479	177432536	Chr1A	160420976	176038205	29	0.9982413793103447
Chr1A	179530042	182122609	Chr1A	178077593	180683969	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	183516371	191973537	12	0.9998333333333335
Chr1A	200578799	202086777	Chr1A	199071192	200544896	5	1.0
Chr1A	204319371	209358469	Chr1A	202820747	207860846	7	0.9995714285714286
Chr1A	213254523	273605502	Chr1A	211235776	276205242	175	0.9990857142857141
Chr1A	275764618	410154980	Chr1A	278373884	412093418	723	0.9943983402489627
Chr1A	413790445	420515127	Chr1A	414517154	422692262	22	0.9928181818181817
Chr1A	423163477	593997588	Chr1A	424525489	596097342	1867	0.9938826995179432
