gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS2A02G033000	Chr2A	14897250	14898288	+	14897769	Chr2A	19252298	19253299	+	19252798	0.963	0.923	collinear
gene:TraesCS2A02G033300	Chr2A	14955059	14958494	-	14956776	Chr2A	19364080	19367459	-	19365769	1.0	0.965	collinear
gene:TraesCS2A02G034800	Chr2A	15227140	15229089	-	15228114	Chr2A	19908507	19910431	-	19909469	0.982	0.948	collinear
gene:TraesCS2A02G034900	Chr2A	15229946	15230920	-	15230433	Chr2A	19912585	19913559	-	19913072	1.0	0.95	collinear
gene:TraesCS2A02G035000	Chr2A	15235753	15237752	+	15236752	Chr2A	19919257	19921229	+	19920243	0.984	0.952	collinear
gene:TraesCS2A02G035100	Chr2A	15269852	15270683	+	15270267	Chr2A	19936817	19937654	+	19937235	1.0	0.949	collinear
gene:TraesCS2A02G035400	Chr2A	15399725	15402232	-	15400978	Chr2A	20062223	20064750	-	20063486	0.984	0.926	collinear
gene:TraesCS2A02G035600	Chr2A	15448679	15449536	-	15449107	Chr2A	20084103	20084961	-	20084532	0.983	0.915	collinear
gene:TraesCS2A02G035700	Chr2A	15451031	15454016	-	15452523	Chr2A	20086455	20089376	-	20087915	0.994	0.965	collinear
gene:TraesCS2A02G035900	Chr2A	15466216	15467988	-	15467102	Chr2A	20190725	20192456	-	20191590	0.966	0.908	collinear
gene:TraesCS2A02G036400	Chr2A	15615656	15618864	-	15617260	Chr2A	20301377	20304524	-	20302950	0.976	0.919	collinear
gene:TraesCS2A02G036500	Chr2A	15622013	15626192	-	15624102	Chr2A	20308337	20312999	-	20310668	0.985	0.928	collinear
gene:TraesCS2A02G037200	Chr2A	15874833	15876687	+	15875760	Chr2A	20946212	20948075	-	20947143	0.985	0.937	collinear
gene:TraesCS2A02G037300	Chr2A	15876848	15881646	+	15879247	Chr2A	20941576	20946052	-	20943814	0.998	0.976	collinear
gene:TraesCS2A02G037400	Chr2A	15881908	15883610	-	15882759	Chr2A	20939378	20941319	+	20940348	0.986	0.921	collinear
gene:TraesCS2A02G037800	Chr2A	15947865	15958630	-	15953247	Chr2A	21012723	21022143	-	21017433	0.925	0.908	collinear
gene:TraesCS2A02G037900	Chr2A	15959789	15960874	+	15960331	Chr2A	21031696	21032778	+	21032237	0.997	0.951	collinear
gene:TraesCS2A02G038000	Chr2A	15962542	15964127	-	15963334	Chr2A	21034308	21035985	-	21035146	0.969	0.932	collinear
gene:TraesCS2A02G038200	Chr2A	16024956	16025736	-	16025346	Chr2A	21131591	21132375	-	21131983	0.989	0.941	collinear
gene:TraesCS2A02G038600	Chr2A	16130212	16132503	+	16131357	Chr2A	21567945	21570248	-	21569096	0.997	0.964	collinear
gene:TraesCS2A02G038800	Chr2A	16272000	16274683	+	16273341	Chr2A	21436529	21439211	-	21437870	0.998	0.977	collinear
gene:TraesCS2A02G039000	Chr2A	16345470	16348265	-	16346867	Chr2A	21209506	21212301	+	21210903	1.0	0.981	collinear
gene:TraesCS2A02G039200	Chr2A	16398757	16406158	+	16402457	Chr2A	21165104	21172649	-	21168876	0.97	0.915	collinear
gene:TraesCS2A02G039500	Chr2A	16464148	16472158	-	16468153	Chr2A	21603035	21611402	-	21607218	0.998	0.979	collinear
gene:TraesCS2A02G039700	Chr2A	16487107	16490859	-	16488983	Chr2A	21626060	21629805	-	21627932	0.987	0.933	collinear
gene:TraesCS2A02G039900	Chr2A	16497962	16498705	+	16498333	Chr2A	21638309	21639044	+	21638676	0.977	0.94	collinear
gene:TraesCS2A02G040000	Chr2A	16522564	16529804	-	16526184	Chr2A	21990241	21997562	+	21993901	0.993	0.935	collinear
gene:TraesCS2A02G040100	Chr2A	16550089	16552930	+	16551509	Chr2A	22003717	22006546	+	22005131	0.985	0.959	collinear
gene:TraesCS2A02G040200	Chr2A	16554144	16557226	+	16555685	Chr2A	22007794	22010762	+	22009278	0.997	0.964	collinear
gene:TraesCS2A02G040400	Chr2A	16572146	16573195	+	16572670	Chr2A	28399440	28400489	+	28399964	1.0	0.952	collinear
gene:TraesCS2A02G040800	Chr2A	16628878	16630591	-	16629734	Chr2A	22124871	22126511	-	22125691	0.95	0.906	collinear
gene:TraesCS2A02G040900	Chr2A	16661538	16663719	+	16662628	Chr2A	22132658	22134743	+	22133700	0.967	0.907	collinear
gene:TraesCS2A02G041000	Chr2A	16667522	16668352	-	16667937	Chr2A	22139726	22140556	-	22140141	1.0	0.96	collinear
gene:TraesCS2A02G041100	Chr2A	16672081	16677954	-	16675017	Chr2A	22143471	22148324	-	22145897	0.992	0.956	collinear
gene:TraesCS2A02G041900	Chr2A	16860344	16865657	+	16863000	Chr2A	22360769	22365582	+	22363175	0.989	0.956	collinear
gene:TraesCS2A02G042200	Chr2A	16899419	16901079	-	16900249	Chr2A	22386500	22388534	-	22387517	1.0	0.947	collinear
gene:TraesCS2A02G042800	Chr2A	17118133	17119536	+	17118834	Chr2A	22534542	22535940	+	22535241	0.996	0.933	collinear
gene:TraesCS2A02G043200	Chr2A	17249740	17252351	+	17251045	Chr2A	23397075	23399688	+	23398381	1.0	0.987	collinear
gene:TraesCS2A02G043600	Chr2A	17440687	17441627	-	17441157	Chr2A	23509609	23510547	-	23510078	0.996	0.925	collinear
gene:TraesCS2A02G044000	Chr2A	17502822	17505250	-	17504036	Chr2A	23531955	23534375	-	23533165	0.995	0.939	collinear
gene:TraesCS2A02G044400	Chr2A	17597301	17597872	-	17597586	Chr2A	23530849	23531419	-	23531134	1.0	0.933	collinear
gene:TraesCS2A02G044700	Chr2A	17615409	17620051	+	17617730	Chr2A	23602137	23606669	+	23604403	0.967	0.946	collinear
gene:TraesCS2A02G045000	Chr2A	17730755	17736893	+	17733824	Chr2A	23726240	23732330	+	23729285	0.966	0.912	collinear
gene:TraesCS2A02G045200	Chr2A	17837184	17838347	-	17837765	Chr2A	24091209	24092372	-	24091790	0.998	0.957	collinear
gene:TraesCS2A02G045500	Chr2A	17869278	17871731	-	17870504	Chr2A	24168312	24170783	-	24169547	1.0	0.971	collinear
gene:TraesCS2A02G046000	Chr2A	18006418	18011773	+	18009095	Chr2A	24447374	24452687	+	24450030	0.964	0.926	collinear
gene:TraesCS2A02G046300	Chr2A	18068320	18072905	+	18070612	Chr2A	24509087	24513687	+	24511387	0.993	0.966	collinear
gene:TraesCS2A02G046600	Chr2A	18175784	18180715	-	18178249	Chr2A	24847875	24852941	-	24850408	0.989	0.911	collinear
gene:TraesCS2A02G047100	Chr2A	18347059	18348314	+	18347686	Chr2A	25061071	25062194	-	25061632	1.0	0.939	collinear
