cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr2A	131324079	131850319	Chr2A	147595647	148135331	5	1.0
Chr2A	137126526	138190316	Chr2A	141352881	142372680	23	0.9922608695652173
Chr2A	342544978	349224718	Chr2A	367404806	373767150	11	1.0
Chr2A	354530162	358948890	Chr2A	357659788	362058246	5	0.9998000000000001
Chr2A	360420161	361383116	Chr2A	380383188	381334602	6	0.9863333333333334
Chr2A	14897769	240818173	Chr2A	19252798	253434899	1622	0.9921565967940814
Chr2A	249151448	252091236	Chr2A	261785816	264724744	6	0.9996666666666667
Chr2A	255910505	258353437	Chr2A	268472162	270940249	8	0.99975
Chr2A	260548731	262579565	Chr2A	273157189	275182600	7	0.9998571428571429
Chr2A	265274570	273294992	Chr2A	277866873	285964049	16	0.9998750000000001
Chr2A	275352399	281746218	Chr2A	288017211	294411704	21	1.0
Chr2A	283944564	286439768	Chr2A	296590872	299094886	5	0.9994
Chr2A	288988301	293951072	Chr2A	301641630	306567345	7	0.9975714285714286
Chr2A	297253831	300399162	Chr2A	309889307	313002397	4	1.0
Chr2A	303735420	306682759	Chr2A	316316155	324244221	5	0.9998000000000001
Chr2A	309689781	311156927	Chr2A	319799690	321252804	3	1.0
Chr2A	313209792	315039543	Chr2A	325827379	327671669	3	1.0
Chr2A	317947462	324619894	Chr2A	330553833	337237945	12	0.9969166666666668
Chr2A	329696283	338546598	Chr2A	342412561	351216756	39	0.9965641025641025
Chr2A	340608829	341927845	Chr2A	355274369	356983205	3	1.0
Chr2A	349721260	353303044	Chr2A	363302896	366893621	8	0.9955
Chr2A	364470917	366720526	Chr2A	375068148	377300187	6	1.0
Chr2A	369202998	395710262	Chr2A	383760116	410541358	92	0.9989565217391305
Chr2A	398464297	398971793	Chr2A	415658048	416165305	4	1.0
Chr2A	405468040	461702290	Chr2A	420690786	476977152	195	0.9977794871794872
Chr2A	463730531	486499474	Chr2A	478989264	501602044	74	0.9959729729729729
Chr2A	488847564	547776466	Chr2A	503933011	562492486	307	0.9956482084690553
Chr2A	563768705	567735681	Chr2A	579676567	583656938	32	0.9978125
Chr2A	582840575	760762714	Chr2A	598363866	781902256	1933	0.9959653388515262
Chr2A	771073879	773563132	Chr2A	791855730	794371370	34	0.9847647058823529
Chr2A	549288612	563202760	Chr2A	584258806	598023178	100	0.9941800000000001
Chr2A	744284926	744811488	Chr2A	756345171	756861761	15	0.9950666666666667
