gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS4B02G003900	Chr4B	2435353	2436499	+	2435926	Chr4B	655809518	655810773	+	655810145	0.995	0.944	rearrangement:Chr4B_block1
gene:TraesCS4B02G004400	Chr4B	3287795	3290128	-	3288961	Chr4B	655234662	655237744	-	655236203	1.0	1.0	rearrangement:Chr4B_block1
gene:TraesCS4B02G004500	Chr4B	3290186	3295709	-	3292947	Chr4B	655237802	655243325	-	655240563	1.0	1.0	rearrangement:Chr4B_block1
gene:TraesCS4B02G004600	Chr4B	3306375	3311452	-	3308913	Chr4B	655253991	655258969	-	655256480	1.0	1.0	rearrangement:Chr4B_block1
gene:TraesCS4B02G004700	Chr4B	3321860	3328187	-	3325023	Chr4B	655270158	655276485	-	655273321	1.0	1.0	rearrangement:Chr4B_block1
gene:TraesCS4B02G004800	Chr4B	3337173	3343580	-	3340376	Chr4B	655285471	655291878	-	655288674	1.0	1.0	rearrangement:Chr4B_block1
gene:TraesCS4B02G004900	Chr4B	3423150	3431600	-	3427375	Chr4B	655364263	655368300	-	655366281	1.0	0.999	rearrangement:Chr4B_block1
gene:TraesCS4B02G122200	Chr4B	145371199	145372302	+	145371750	Chr4B	158338481	158339584	-	158339032	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G122300	Chr4B	145374647	145377264	-	145375955	Chr4B	158333225	158335842	+	158334533	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G122400	Chr4B	145529728	145532048	-	145530888	Chr4B	158179368	158181688	+	158180528	1.0	0.999	rearrangement:Chr4B_block3
gene:TraesCS4B02G122500	Chr4B	145533780	145534890	+	145534335	Chr4B	158176526	158177636	-	158177081	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G122600	Chr4B	145803175	145806823	-	145804999	Chr4B	157903863	157907511	+	157905687	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G122700	Chr4B	145840833	145848399	-	145844616	Chr4B	157862555	157870123	+	157866339	1.0	0.999	rearrangement:Chr4B_block3
gene:TraesCS4B02G122800	Chr4B	146467158	146471064	+	146469111	Chr4B	157231626	157235532	-	157233579	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G122900	Chr4B	146480568	146489787	+	146485177	Chr4B	157213075	157222122	-	157217598	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G123000	Chr4B	146492838	146493503	-	146493170	Chr4B	157208920	157209585	+	157209252	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G123100	Chr4B	146494929	146498426	-	146496677	Chr4B	157203997	157207494	+	157205745	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B02G123200	Chr4B	146556943	146559323	-	146558133	Chr4B	157144010	157146390	+	157145200	1.0	0.999	rearrangement:Chr4B_block3
gene:TraesCS4B02G125200	Chr4B	154109949	154114680	-	154112314	Chr4B	149870042	149874773	+	149872407	1.0	0.999	rearrangement:Chr4B_block2
gene:TraesCS4B02G125300	Chr4B	155095353	155095781	+	155095567	Chr4B	148891116	148891544	-	148891330	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B02G125400	Chr4B	155371654	155376260	+	155373957	Chr4B	148612075	148616659	-	148614367	0.98	0.98	rearrangement:Chr4B_block2
gene:TraesCS4B02G125500	Chr4B	155377458	155380328	-	155378893	Chr4B	148608007	148610877	+	148609442	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B02G125600	Chr4B	156062820	156063850	+	156063335	Chr4B	147917850	147918880	-	147918365	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B02G125700	Chr4B	156526868	156534017	-	156530442	Chr4B	147446603	147453752	+	147450177	1.0	0.999	rearrangement:Chr4B_block2
gene:TraesCS4B02G000300	Chr4B	233604	235207	-	234405	Chr4B	1199954	1201520	+	1200737	0.958	0.922	collinear
gene:TraesCS4B02G000400	Chr4B	235554	237151	-	236352	Chr4B	1207204	1208795	+	1207999	1.0	0.989	collinear
