gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS2B02G000100	Chr2B	9843	11553	-	10698	Chr2B	2255331	2257052	-	2256191	1.0	0.99	collinear
gene:TraesCS2B02G000200	Chr2B	19907	22569	+	21238	Chr2B	2276237	2279239	+	2277738	1.0	0.984	collinear
gene:TraesCS2B02G000300	Chr2B	45037	61255	-	53146	Chr2B	2284237	2295024	-	2289630	0.972	0.965	collinear
gene:TraesCS2B02G000500	Chr2B	91679	92119	+	91899	Chr2B	2328987	2329427	+	2329207	1.0	1.0	collinear
gene:TraesCS2B02G000800	Chr2B	432358	433095	+	432726	Chr2B	2069516	2070253	-	2069884	1.0	0.991	collinear
gene:TraesCS2B02G000900	Chr2B	447781	453531	-	450656	Chr2B	2049581	2055050	+	2052315	0.999	0.996	collinear
gene:TraesCS2B02G001000	Chr2B	470641	473097	+	471869	Chr2B	2029696	2032152	-	2030924	1.0	0.998	collinear
gene:TraesCS2B02G001100	Chr2B	477194	478878	+	478036	Chr2B	2023917	2025598	-	2024757	0.998	0.994	collinear
gene:TraesCS2B02G001200	Chr2B	632838	633239	+	633038	Chr2B	1835752	1836154	-	1835953	1.0	1.0	collinear
gene:TraesCS2B02G001300	Chr2B	810865	811158	-	811011	Chr2B	1658794	1659087	+	1658940	1.0	1.0	collinear
gene:TraesCS2B02G001400	Chr2B	1171680	1174401	+	1173040	Chr2B	9121767	9124488	+	9123127	1.0	0.98	collinear
gene:TraesCS2B02G001500	Chr2B	1181154	1181702	+	1181428	Chr2B	9131310	9131858	+	9131584	1.0	0.961	collinear
gene:TraesCS2B02G001600	Chr2B	1248784	1252232	+	1250508	Chr2B	9185758	9189212	+	9187485	1.0	0.996	collinear
gene:TraesCS2B02G001800	Chr2B	1265344	1272505	+	1268924	Chr2B	9201788	9208953	+	9205370	1.0	0.997	collinear
gene:TraesCS2B02G001700	Chr2B	1265079	1308155	-	1286617	Chr2B	9201523	9244415	-	9222969	1.0	1.0	collinear
gene:TraesCS2B02G004200	Chr2B	2235456	2238338	+	2236897	Chr2B	10528247	10531128	-	10529687	0.998	0.994	collinear
gene:TraesCS2B02G004300	Chr2B	2335787	2336388	+	2336087	Chr2B	10431453	10432038	-	10431745	1.0	1.0	collinear
gene:TraesCS2B02G004400	Chr2B	2344368	2347989	-	2346178	Chr2B	10419853	10423473	+	10421663	1.0	1.0	collinear
gene:TraesCS2B02G004500	Chr2B	2404235	2407537	-	2405886	Chr2B	10362000	10365302	+	10363651	1.0	1.0	collinear
gene:TraesCS2B02G004600	Chr2B	2501390	2503974	-	2502682	Chr2B	10265438	10268015	+	10266726	0.996	0.995	collinear
gene:TraesCS2B02G004700	Chr2B	2525898	2529167	-	2527532	Chr2B	10241239	10244508	+	10242873	1.0	1.0	collinear
gene:TraesCS2B02G004800	Chr2B	2566039	2566626	-	2566332	Chr2B	10201292	10201879	+	10201585	1.0	1.0	collinear
gene:TraesCS2B02G005000	Chr2B	3288581	3293090	+	3290835	Chr2B	9639158	9643667	-	9641412	1.0	1.0	collinear
gene:TraesCS2B02G005100	Chr2B	3299928	3306836	-	3303382	Chr2B	9624913	9631994	+	9628453	1.0	1.0	collinear
