gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS3A02G000300	Chr3A	84561	87232	-	85896	Chr3A	1288921	1291592	+	1290256	1.0	1.0	collinear
gene:TraesCS3A02G000400	Chr3A	95678	97870	-	96774	Chr3A	1278145	1280337	+	1279241	1.0	1.0	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	1244191	1246481	+	1245336	1.0	1.0	collinear
gene:TraesCS3A02G000600	Chr3A	177219	179017	-	178118	Chr3A	1197166	1198964	+	1198065	1.0	0.999	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	1168183	1171469	+	1169826	1.0	1.0	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	967069	970139	+	968604	1.0	1.0	collinear
gene:TraesCS3A02G000900	Chr3A	409621	416203	-	412912	Chr3A	951742	958323	+	955032	1.0	1.0	collinear
gene:TraesCS3A02G001000	Chr3A	425011	425988	-	425499	Chr3A	942054	943031	+	942542	1.0	0.998	collinear
gene:TraesCS3A02G001100	Chr3A	430147	432865	+	431506	Chr3A	907818	910536	-	909177	1.0	1.0	collinear
gene:TraesCS3A02G001200	Chr3A	437746	441793	+	439769	Chr3A	898824	902937	-	900880	1.0	0.97	collinear
gene:TraesCS3A02G001300	Chr3A	912044	912421	-	912232	Chr3A	375781	376158	+	375969	1.0	0.994	collinear
gene:TraesCS3A02G001500	Chr3A	1028128	1031945	+	1030036	Chr3A	228501	232326	-	230413	1.0	0.993	collinear
gene:TraesCS3A02G001600	Chr3A	1055242	1059496	-	1057369	Chr3A	200628	204864	+	202746	1.0	0.994	collinear
gene:TraesCS3A02G001700	Chr3A	1304381	1309289	+	1306835	Chr3A	1529082	1533860	+	1531471	0.996	0.993	collinear
gene:TraesCS3A02G001800	Chr3A	1313066	1315898	-	1314482	Chr3A	1538593	1541263	-	1539928	0.997	0.975	collinear
gene:TraesCS3A02G001900	Chr3A	1325708	1326744	-	1326226	Chr3A	1549992	1551028	-	1550510	1.0	0.997	collinear
gene:TraesCS3A02G002000	Chr3A	1328508	1329908	-	1329208	Chr3A	1552786	1554134	-	1553460	0.95	0.933	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	1609026	1611605	+	1610315	1.0	0.993	collinear
gene:TraesCS3A02G002200	Chr3A	1389037	1389428	-	1389232	Chr3A	1617206	1617597	-	1617401	1.0	1.0	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	1620817	1622502	-	1621659	1.0	0.975	collinear
gene:TraesCS3A02G002400	Chr3A	1514278	1514782	+	1514530	Chr3A	2265421	2265928	+	2265674	1.0	0.984	collinear
gene:TraesCS3A02G002500	Chr3A	1519343	1519759	+	1519551	Chr3A	2271762	2272178	+	2271970	1.0	1.0	collinear
gene:TraesCS3A02G002700	Chr3A	1593227	1593658	+	1593442	Chr3A	2224604	2225030	+	2224817	0.981	0.96	collinear
gene:TraesCS3A02G002800	Chr3A	1618081	1619002	+	1618541	Chr3A	2332492	2333413	+	2332952	1.0	0.993	collinear
gene:TraesCS3A02G003000	Chr3A	1711784	1712270	-	1712027	Chr3A	2481834	2482320	-	2482077	1.0	0.996	collinear
gene:TraesCS3A02G003200	Chr3A	1780395	1782252	+	1781323	Chr3A	2619508	2621365	+	2620436	1.0	0.989	collinear
gene:TraesCS3A02G003300	Chr3A	1789588	1790065	+	1789826	Chr3A	2629874	2630351	+	2630112	1.0	0.995	collinear
gene:TraesCS3A02G003400	Chr3A	1797375	1797977	+	1797676	Chr3A	2636301	2636903	+	2636602	1.0	0.993	collinear
gene:TraesCS3A02G003600	Chr3A	1896509	1898746	-	1897627	Chr3A	2841100	2843343	-	2842221	1.0	0.954	collinear
gene:TraesCS3A02G003700	Chr3A	1903850	1904592	+	1904221	Chr3A	2857041	2857783	+	2857412	0.998	0.989	collinear
gene:TraesCS3A02G003800	Chr3A	1919555	1923009	+	1921282	Chr3A	2863822	2867278	+	2865550	1.0	0.994	collinear
gene:TraesCS3A02G004200	Chr3A	2435784	2436154	+	2435969	Chr3A	3744453	3744823	+	3744638	1.0	0.963	collinear
gene:TraesCS3A02G004300	Chr3A	2604430	2605130	+	2604780	Chr3A	3936757	3937459	+	3937108	0.998	0.957	collinear
gene:TraesCS3A02G004400	Chr3A	2898506	2899124	+	2898815	Chr3A	3981352	3981955	+	3981653	1.0	0.969	collinear
gene:TraesCS3A02G004500	Chr3A	2915325	2915907	+	2915616	Chr3A	2895288	2895870	+	2895579	1.0	0.973	collinear
gene:TraesCS3A02G004600	Chr3A	3410856	3411551	+	3411203	Chr3A	3500710	3501403	+	3501056	0.996	0.975	collinear
gene:TraesCS3A02G004800	Chr3A	3435237	3435607	+	3435422	Chr3A	3814856	3815226	+	3815041	1.0	0.963	collinear
gene:TraesCS3A02G004900	Chr3A	4462222	4462819	+	4462520	Chr3A	3014559	3015154	-	3014856	0.995	0.981	collinear
gene:TraesCS3A02G005300	Chr3A	5991467	5993606	-	5992536	Chr3A	3389838	3391999	-	3390918	0.974	0.945	collinear
gene:TraesCS3A02G005400	Chr3A	6085069	6085439	+	6085254	Chr3A	3170768	3171138	+	3170953	1.0	0.991	collinear
gene:TraesCS3A02G005600	Chr3A	7124999	7125736	-	7125367	Chr3A	4318082	4318819	-	4318450	1.0	0.982	collinear
gene:TraesCS3A02G005700	Chr3A	7130853	7131625	-	7131239	Chr3A	4327670	4328450	-	4328060	1.0	0.982	collinear
gene:TraesCS3A02G005900	Chr3A	7200517	7201780	-	7201148	Chr3A	4363382	4364645	-	4364013	1.0	0.993	collinear
gene:TraesCS3A02G006000	Chr3A	7214595	7215368	-	7214981	Chr3A	4378801	4379574	-	4379187	1.0	0.983	collinear
gene:TraesCS3A02G006100	Chr3A	7254324	7260233	+	7257278	Chr3A	4463048	4468977	+	4466012	0.998	0.991	collinear
gene:TraesCS3A02G006300	Chr3A	7273333	7275112	-	7274222	Chr3A	4486918	4488699	-	4487808	1.0	0.996	collinear
gene:TraesCS3A02G006400	Chr3A	7278992	7280206	-	7279599	Chr3A	4492831	4494072	-	4493451	0.995	0.951	collinear
gene:TraesCS3A02G006900	Chr3A	7384784	7389062	-	7386923	Chr3A	4530955	4535304	-	4533129	0.992	0.946	collinear
gene:TraesCS3A02G007000	Chr3A	7432258	7432761	-	7432509	Chr3A	4554001	4554504	-	4554252	1.0	0.998	collinear
gene:TraesCS3A02G007100	Chr3A	7436857	7439060	-	7437958	Chr3A	4558638	4560838	-	4559738	0.996	0.986	collinear
gene:TraesCS3A02G007300	Chr3A	7474899	7476900	-	7475899	Chr3A	4595877	4597896	-	4596886	0.998	0.973	collinear
gene:TraesCS3A02G007500	Chr3A	7653355	7653726	+	7653540	Chr3A	4754493	4754864	+	4754678	1.0	0.991	collinear
gene:TraesCS3A02G007600	Chr3A	7655397	7656793	+	7656095	Chr3A	4757354	4758726	+	4758040	0.969	0.949	collinear
gene:TraesCS3A02G007700	Chr3A	7781523	7782418	+	7781970	Chr3A	4802048	4802965	+	4802506	0.978	0.925	collinear
