cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr5D	5101272	7016867	Chr5D	1640495	3553441	72	0.9996666666666667
Chr5D	305711053	318886157	Chr5D	290512919	303710830	86	0.9956511627906978
Chr5D	95790	3766301	Chr5D	3889710	7378436	46	0.9969130434782612
Chr5D	7566214	142906633	Chr5D	10295770	147245154	992	0.9988961693548387
Chr5D	150833053	185200167	Chr5D	154142758	189077249	58	0.9980862068965517
Chr5D	187947173	193635424	Chr5D	190380452	197594093	23	0.9993913043478261
Chr5D	196853980	285839896	Chr5D	200804970	290184485	546	0.9985934065934068
Chr5D	300707176	305247595	Chr5D	304171069	308710693	38	0.9970526315789475
Chr5D	319254813	564587624	Chr5D	321746229	569974432	3331	0.9977102972080456
Chr5D	564749882	565976360	Chr5D	562296144	563532650	34	0.9998823529411766
