cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr7A	5795737	7599283	Chr7A	11080621	12810183	24	0.97975
Chr7A	146678066	156268273	Chr7A	161510101	171651115	64	0.9938906249999999
Chr7A	160992235	171949346	Chr7A	144698626	156031599	97	0.9952371134020618
Chr7A	211205518	211709585	Chr7A	158818958	159372774	15	0.9892666666666667
Chr7A	7629603	9412184	Chr7A	3382908	11043489	35	0.9734
Chr7A	13626624	71670370	Chr7A	12943483	69806810	619	0.9897689822294023
Chr7A	73730871	146026136	Chr7A	71703603	144000523	666	0.9937912912912913
Chr7A	156319510	159730736	Chr7A	156045454	161459593	16	0.9950000000000001
Chr7A	171535728	311914665	Chr7A	173817398	313450194	675	0.9967481481481483
Chr7A	314415263	349685423	Chr7A	315966778	351349437	51	0.9959411764705882
Chr7A	352126580	356369547	Chr7A	354391501	358621101	26	0.9987692307692307
Chr7A	362739671	388772773	Chr7A	367473830	393588813	38	0.9981315789473685
Chr7A	391904207	736698014	Chr7A	396582652	745152404	2494	0.9948227746591819
