cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr1B	39234575	39616017	Chr1B	37525817	37901031	9	0.9883333333333333
Chr1B	47162494	47633467	Chr1B	45514989	45964700	10	0.9940999999999999
Chr1B	712634	3206803	Chr1B	414699	8034775	27	0.9812222222222223
Chr1B	7129379	29492353	Chr1B	8281434	32361633	300	0.9943933333333332
Chr1B	31858804	76138867	Chr1B	33544173	78010743	270	0.9900703703703704
Chr1B	80709308	85441230	Chr1B	82713436	86922371	17	0.9996470588235294
Chr1B	87971485	218433567	Chr1B	89433735	219645558	578	0.9982301038062283
Chr1B	220753045	223795187	Chr1B	221952176	225047662	6	0.9998333333333332
Chr1B	225799645	231641237	Chr1B	227045520	232897949	9	0.9933333333333333
Chr1B	234252905	235898148	Chr1B	235537722	237287937	3	0.997
Chr1B	239778311	243089038	Chr1B	243532080	245890192	6	1.0
Chr1B	245942911	289694136	Chr1B	252168445	297487738	129	0.9979457364341087
Chr1B	292342566	292422556	Chr1B	300089454	300177316	5	0.9945999999999999
Chr1B	294946215	314741626	Chr1B	302669392	325756381	71	0.9890000000000001
Chr1B	317013382	317917199	Chr1B	328691128	329778356	9	0.9633333333333334
Chr1B	322108938	602897761	Chr1B	330689003	613107101	1809	0.9954908789386401
Chr1B	605923149	610560969	Chr1B	616438960	621078584	35	0.9959714285714286
Chr1B	614183789	689851652	Chr1B	624799565	703976621	835	0.9910610778443114
Chr1B	603086271	605584100	Chr1B	621416373	623910879	26	0.9950384615384616
Chr1B	610893418	613727303	Chr1B	613250192	616107804	23	0.9927826086956525
