cs_chr	Jagger_tgt_chr	n_anchors	Jagger_mean_anchor_gap_Mb	Jagger_interp_type	n_segments	Jagger_mean_anchor_fraction
Chr1A	Chr1A	4010	0.148	linear	1	0.934
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4177	0.099	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.918
Chr1D	Chr1D	4160	0.119	linear	1	0.95
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	4619	0.489	pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear+linear+pchip_inverted	8	0.888
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5229	0.199	linear+linear+pchip_inverted+pchip_inverted+pchip+linear	6	0.902
Chr2D	Chr2D+Chr2D	5245	0.084	linear+linear	2	0.93
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	4933	0.124	linear+pchip_inverted+linear+pchip	4	0.945
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5154	0.128	linear+linear+linear+pchip_inverted+linear	5	0.909
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5021	0.154	linear+pchip_inverted+pchip_inverted+pchip_inverted+linear	5	0.947
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4317	0.429	pchip_inverted+linear+pchip+pchip_inverted+linear+linear+linear	7	0.862
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3535	0.24	linear+pchip_inverted+pchip_inverted+linear	4	0.933
Chr4D	Chr4D+Chr4D	3443	0.09	pchip+linear	2	0.974
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5069	0.108	pchip_inverted+pchip_inverted+linear+pchip+pchip+linear	6	0.929
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	4967	0.204	pchip+pchip_inverted+linear+linear+linear	5	0.883
Chr5D	Chr5D+Chr5D+Chr5D+Chr5D	5226	0.083	pchip+pchip_inverted+linear+pchip	4	0.941
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A+Chr6A+Chr6A	3617	0.081	pchip_inverted+linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip	6	0.922
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3953	0.413	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	10	0.871
Chr6D	Chr6D+Chr6D	3582	0.105	pchip_inverted+linear	2	0.934
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4822	0.108	pchip_inverted+pchip_inverted+linear+pchip_inverted+linear	5	0.924
Chr7B	Chr7B+Chr7B+Chr7B	4335	0.203	linear+linear+pchip	3	0.926
Chr7D	Chr7D+Chr7D	5200	0.082	linear+pchip_inverted	2	0.969
