cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr3B	25056709	26191630	Chr3B	29156902	30012245	13	0.988076923076923
Chr3B	347801166	356211822	Chr3B	371641951	390608178	16	0.994875
Chr3B	358584653	362481010	Chr3B	384330754	388264522	9	0.9956666666666667
Chr3B	367678075	373467260	Chr3B	394717287	400725864	28	0.9914285714285713
Chr3B	377420901	467052960	Chr3B	401081121	490677963	472	0.9966546610169491
Chr3B	469640104	514129864	Chr3B	493254657	538402166	251	0.9936812749003984
Chr3B	213691	1786651	Chr3B	6818127	8609609	13	0.9813846153846154
Chr3B	6945637	85340142	Chr3B	12700654	96753360	806	0.9915508684863523
Chr3B	87718232	191189469	Chr3B	99122605	204267760	588	0.9954438775510205
Chr3B	193609697	195100861	Chr3B	206773530	208315684	10	0.9963
Chr3B	197792489	207456387	Chr3B	211157711	220868687	81	0.9938765432098764
Chr3B	212297313	215012163	Chr3B	225931113	228458582	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	231708923	242984621	48	0.9928541666666666
Chr3B	235855911	277099960	Chr3B	248787559	290943450	196	0.9942091836734694
Chr3B	283596077	284678121	Chr3B	297809999	298920957	4	0.99175
Chr3B	292022415	296187942	Chr3B	304968801	309711954	4	0.9964999999999999
Chr3B	299132814	317625373	Chr3B	313198025	333428037	22	0.9961363636363636
Chr3B	322293448	338599491	Chr3B	338137093	355295785	24	0.9940833333333333
Chr3B	340796436	346618338	Chr3B	357530514	363137949	10	0.9917999999999999
Chr3B	363324584	367477711	Chr3B	379201651	383473886	10	0.9971
Chr3B	373617547	376633786	Chr3B	391484228	394573130	6	0.9963333333333334
Chr3B	424739997	425390047	Chr3B	445384982	446041495	5	0.9904
Chr3B	519052799	822195043	Chr3B	538474209	846363350	2434	0.9935698438783893
Chr3B	824392163	827516175	Chr3B	849867440	852751881	25	0.98468
Chr3B	822668680	824007157	Chr3B	853934438	855731555	19	0.9746315789473683
Chr3B	828111614	830611341	Chr3B	846683026	849267737	40	0.984775
