cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr4D	1643269	140903099	Chr4D	527352	141919862	1370	0.9975664233576643
Chr4D	143579930	155648423	Chr4D	144597121	156661641	15	0.9935333333333334
Chr4D	163412513	183387226	Chr4D	164421467	184359848	26	0.9990384615384615
Chr4D	188710899	192736636	Chr4D	190576994	194619713	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	196902844	200470148	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	203711382	214747882	28	0.9989285714285714
Chr4D	214312396	218011813	Chr4D	216914974	220621790	8	0.9998750000000001
Chr4D	220338259	228145178	Chr4D	222951992	230722264	14	0.9998571428571428
Chr4D	230482531	238626311	Chr4D	232933188	241287667	11	0.998
Chr4D	240933419	248933627	Chr4D	243586253	251543775	19	0.9996842105263157
Chr4D	251524682	256552996	Chr4D	254133966	259075828	7	0.9917142857142858
Chr4D	258897131	261254698	Chr4D	261398008	263785228	6	0.9998333333333335
Chr4D	263946972	268074619	Chr4D	266470887	270594534	7	0.9984285714285714
Chr4D	270654719	329311457	Chr4D	273170802	331653571	240	0.9985958333333333
Chr4D	331638064	375735889	Chr4D	333927257	378021195	297	0.9987070707070707
Chr4D	377828182	410407878	Chr4D	380085024	412176377	231	0.9981125541125542
Chr4D	412715801	509853899	Chr4D	414428434	513602722	1135	0.99812422907489
