cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr3A	85896	128718501	Chr3A	202746	137045303	1323	0.9953492063492065
Chr3A	130835529	181088605	Chr3A	139158382	188848895	212	0.997
Chr3A	184214632	251342423	Chr3A	191996906	259065370	205	0.9986829268292684
Chr3A	259064196	267056348	Chr3A	266752126	274658853	12	0.9976666666666668
Chr3A	269215500	273159995	Chr3A	276811421	280751551	6	0.9983333333333334
Chr3A	275284207	283103162	Chr3A	282890552	292097644	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	296896988	301986856	6	0.9991666666666666
Chr3A	306870964	314620161	Chr3A	306828787	314521697	13	0.9996923076923078
Chr3A	322880184	337881732	Chr3A	331910384	348301087	28	0.9996071428571429
Chr3A	340259729	343231466	Chr3A	350710830	353551643	8	0.99625
Chr3A	345871376	349014829	Chr3A	356204835	359334001	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	361416204	538924015	860	0.9972279069767441
Chr3A	533624052	545153837	Chr3A	539041761	550571433	75	0.9920800000000001
Chr3A	556260652	750618114	Chr3A	555892372	754287680	2052	0.9952865497076023
Chr3A	529107092	530496965	Chr3A	553676044	555044167	15	0.9964666666666666
Chr3A	531078912	533635789	Chr3A	551113053	553200542	27	0.9926296296296298
Chr3A	545257989	555697701	Chr3A	105298030	115389551	75	0.9947066666666666
