cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr5B	18796	5919851	Chr5B	1168197	10336109	32	0.9980625000000001
Chr5B	8876468	103472463	Chr5B	10554049	105848853	664	0.9944457831325302
Chr5B	105776459	149330732	Chr5B	105889335	148675780	233	0.9969742489270386
Chr5B	152509380	167292122	Chr5B	151521822	169032209	25	0.9972000000000001
Chr5B	177645401	181616051	Chr5B	179018866	183064930	6	0.9873333333333333
Chr5B	191960322	192381573	Chr5B	191515683	191951332	3	0.9993333333333334
Chr5B	202891999	207588093	Chr5B	203385557	208094722	10	0.9909000000000001
Chr5B	219089253	236283952	Chr5B	219363344	237322691	68	0.9953088235294117
Chr5B	238316269	257532817	Chr5B	239135730	257794935	77	0.9991298701298701
Chr5B	259539413	341562322	Chr5B	259803026	342252809	492	0.9969105691056911
Chr5B	343826709	383208800	Chr5B	344501045	383684885	213	0.9973427230046948
Chr5B	386333053	412688052	Chr5B	383942268	410569569	196	0.994551020408163
Chr5B	414828778	484644113	Chr5B	411851863	483915236	608	0.9951858552631578
Chr5B	498082132	692695841	Chr5B	497855480	683186867	1901	0.9903250920568122
Chr5B	695777471	700232848	Chr5B	687266025	691492683	52	0.9890576923076922
Chr5B	704074687	712909088	Chr5B	694042670	703481714	175	0.9949771428571428
