cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr4B	2435926	3427375	Chr4B	655236203	655810145	7	0.9918571428571428
Chr4B	145371750	146558133	Chr4B	157145200	158339032	11	0.9997272727272729
Chr4B	154112314	156530442	Chr4B	147450177	149872407	6	0.9963333333333333
Chr4B	2692760	6956792	Chr4B	4056975	7630278	15	0.9911333333333334
Chr4B	9946931	83143343	Chr4B	10379237	84591639	634	0.9975599369085173
Chr4B	85363222	152088859	Chr4B	86832143	157011709	370	0.9983972972972974
Chr4B	158279534	161625531	Chr4B	159877032	163207024	6	1.0
Chr4B	163837175	203850975	Chr4B	165504346	205616821	180	0.9978666666666666
Chr4B	206794132	223387060	Chr4B	208550935	225128380	44	0.9981363636363636
Chr4B	226512235	230010047	Chr4B	228221872	231682741	4	1.0
Chr4B	234929847	256332590	Chr4B	236474703	257653498	22	0.999909090909091
Chr4B	258773888	260054174	Chr4B	260104631	261406456	4	0.9984999999999999
Chr4B	265283966	267670216	Chr4B	266704093	269091335	4	1.0
Chr4B	270531068	273980394	Chr4B	271858142	275286451	8	1.0
Chr4B	275998809	282885258	Chr4B	277298832	284155115	10	0.9998000000000001
Chr4B	285555605	286747008	Chr4B	286836447	287929049	4	0.99975
Chr4B	291844033	291890141	Chr4B	292939554	292984254	4	1.0
Chr4B	295046802	296948857	Chr4B	296112493	297894251	3	1.0
Chr4B	299559143	302859664	Chr4B	300532360	304717562	5	0.9974000000000001
Chr4B	305479702	316989666	Chr4B	305798212	318383804	31	0.999741935483871
Chr4B	327191689	330784063	Chr4B	327527033	331128714	8	0.9998750000000001
Chr4B	338426211	348947698	Chr4B	338456695	349477662	16	0.996
Chr4B	351612149	352152996	Chr4B	351485743	352025112	3	0.968
Chr4B	357909130	429353205	Chr4B	357791775	429057015	333	0.9986816816816816
Chr4B	431793129	673534850	Chr4B	431468614	673274354	1794	0.9963879598662208
