cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr6B	168584	5808106	Chr6B	156777	7759954	42	0.9820476190476191
Chr6B	7940795	103962989	Chr6B	7928062	106995698	897	0.9924659977703456
Chr6B	106468710	109142658	Chr6B	109530554	112221479	7	0.9998571428571429
Chr6B	112900406	240401733	Chr6B	114757324	246792676	729	0.9928285322359396
Chr6B	243269422	252842611	Chr6B	249562363	259331178	29	0.9945517241379311
Chr6B	255004953	262472341	Chr6B	261501199	269157060	31	0.9916774193548387
Chr6B	274210524	282983990	Chr6B	269667017	278260296	39	0.9958717948717949
Chr6B	286712737	291066228	Chr6B	282124675	286484113	20	0.99705
Chr6B	295767133	302596217	Chr6B	299619455	309233063	26	0.9964230769230771
Chr6B	317213268	321293096	Chr6B	312431089	316552049	11	0.9925454545454546
Chr6B	341712366	343111521	Chr6B	339268544	340647701	5	0.994
Chr6B	366734883	371611328	Chr6B	369767761	374656259	9	0.9893333333333333
Chr6B	374329893	375641657	Chr6B	365978232	367251398	3	0.9936666666666666
Chr6B	402215985	424306904	Chr6B	398964836	421006850	54	0.9941481481481481
Chr6B	430193107	441049080	Chr6B	421842184	432434355	49	0.9983265306122449
Chr6B	444540716	479000671	Chr6B	435978562	474079347	172	0.9953779069767441
Chr6B	491622865	500894471	Chr6B	489145582	498279626	42	0.9993809523809525
Chr6B	516078619	620708761	Chr6B	510789829	615891909	637	0.9958131868131868
Chr6B	622726250	626889431	Chr6B	617799512	621847859	33	0.9908787878787878
Chr6B	630465748	720953306	Chr6B	624358175	721077697	870	0.9894183908045977
