gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS1A02G001700	Chr1A	403455	403751	+	403603	Chr1A	1156264	1156560	-	1156412	1.0	1.0	collinear
gene:TraesCS1A02G001800	Chr1A	1144333	1145934	+	1145133	Chr1A	432385	433986	-	433185	1.0	1.0	collinear
gene:TraesCS1A02G001900	Chr1A	1159194	1162830	-	1161012	Chr1A	415611	419247	+	417429	1.0	1.0	collinear
gene:TraesCS1A02G002000	Chr1A	1163485	1167878	-	1165681	Chr1A	410563	414956	+	412759	1.0	1.0	collinear
gene:TraesCS1A02G002100	Chr1A	1170356	1177383	+	1173869	Chr1A	401450	408477	-	404963	1.0	1.0	collinear
gene:TraesCS1A02G002200	Chr1A	1188844	1190864	+	1189854	Chr1A	388196	390216	-	389206	1.0	1.0	collinear
gene:TraesCS1A02G002300	Chr1A	1209721	1212812	-	1211266	Chr1A	366758	369849	+	368303	1.0	1.0	collinear
gene:TraesCS1A02G002400	Chr1A	1228914	1229339	-	1229126	Chr1A	352470	352895	+	352682	1.0	1.0	collinear
gene:TraesCS1A02G002500	Chr1A	1232354	1238469	-	1235411	Chr1A	343340	349455	+	346397	1.0	1.0	collinear
gene:TraesCS1A02G002700	Chr1A	1336841	1348326	-	1342583	Chr1A	234273	245759	+	240016	1.0	1.0	collinear
gene:TraesCS1A02G002800	Chr1A	1565963	1567220	-	1566591	Chr1A	28088	29345	+	28716	1.0	1.0	collinear
gene:TraesCS1A02G002900	Chr1A	1657115	1666923	+	1662019	Chr1A	2445572	2455380	-	2450476	1.0	1.0	collinear
gene:TraesCS1A02G003000	Chr1A	1668949	1670358	+	1669653	Chr1A	2442137	2443546	-	2442841	1.0	1.0	collinear
gene:TraesCS1A02G003100	Chr1A	1689351	1698842	-	1694096	Chr1A	2413653	2423144	+	2418398	1.0	1.0	collinear
gene:TraesCS1A02G003200	Chr1A	1721421	1734947	+	1728184	Chr1A	2376512	2390038	-	2383275	1.0	1.0	collinear
gene:TraesCS1A02G003300	Chr1A	1792119	1815634	+	1803876	Chr1A	2296701	2319754	-	2308227	1.0	0.999	collinear
gene:TraesCS1A02G003400	Chr1A	2161814	2163439	-	2162626	Chr1A	1952495	1954120	+	1953307	1.0	1.0	collinear
gene:TraesCS1A02G003500	Chr1A	2184957	2185397	-	2185177	Chr1A	1930682	1931122	+	1930902	1.0	1.0	collinear
gene:TraesCS1A02G003546	Chr1A	2200978	2203830	+	2202404	Chr1A	1912251	1915103	-	1913677	1.0	1.0	collinear
gene:TraesCS1A02G003600	Chr1A	2229188	2236819	-	2233003	Chr1A	1879251	1886882	+	1883066	1.0	0.999	collinear
gene:TraesCS1A02G003700	Chr1A	2291887	2292891	+	2292389	Chr1A	1823193	1824197	-	1823695	1.0	1.0	collinear
gene:TraesCS1A02G003800	Chr1A	2377713	2379143	-	2378428	Chr1A	1737471	1738901	+	1738186	1.0	1.0	collinear
gene:TraesCS1A02G003900	Chr1A	2391500	2393497	+	2392498	Chr1A	1723285	1725282	-	1724283	1.0	1.0	collinear
gene:TraesCS1A02G004000	Chr1A	2437843	2441540	-	2439691	Chr1A	1675937	1679634	+	1677785	1.0	1.0	collinear
gene:TraesCS1A02G004100	Chr1A	2474575	2481205	+	2477890	Chr1A	1636268	1642898	-	1639583	1.0	0.999	collinear
gene:TraesCS1A02G004126	Chr1A	2490452	2519369	+	2504910	Chr1A	1598211	1627300	-	1612755	0.991	0.973	collinear
gene:TraesCS1A02G004200	Chr1A	2540491	2540958	-	2540724	Chr1A	1576708	1577175	+	1576941	1.0	1.0	collinear
gene:TraesCS1A02G004300	Chr1A	2550647	2569820	+	2560233	Chr1A	1548145	1567019	-	1557582	1.0	1.0	collinear
gene:TraesCS1A02G004400	Chr1A	2642460	2648016	-	2645238	Chr1A	1470416	1475972	+	1473194	1.0	1.0	collinear
gene:TraesCS1A02G004500	Chr1A	2661957	2667052	-	2664504	Chr1A	1451380	1456475	+	1453927	1.0	1.0	collinear
gene:TraesCS1A02G004600	Chr1A	2837094	2843854	-	2840474	Chr1A	1276423	1283183	+	1279803	1.0	1.0	collinear
gene:TraesCS1A02G004700	Chr1A	2847902	2850951	+	2849426	Chr1A	1269326	1272375	-	1270850	1.0	1.0	collinear
gene:TraesCS1A02G004900	Chr1A	2942044	2945027	+	2943535	Chr1A	2486032	2489016	+	2487524	1.0	0.997	collinear
gene:TraesCS1A02G005000	Chr1A	2975187	2976767	+	2975977	Chr1A	2518996	2520576	+	2519786	1.0	1.0	collinear
gene:TraesCS1A02G005100	Chr1A	2978903	2981121	-	2980012	Chr1A	2522712	2524930	-	2523821	1.0	1.0	collinear
gene:TraesCS1A02G005200	Chr1A	2982629	2986266	+	2984447	Chr1A	2526438	2530075	+	2528256	1.0	1.0	collinear
gene:TraesCS1A02G005300	Chr1A	3013341	3014979	+	3014160	Chr1A	2556962	2558600	+	2557781	1.0	1.0	collinear
gene:TraesCS1A02G005368	Chr1A	3074492	3075657	-	3075074	Chr1A	2617872	2618992	-	2618432	0.961	0.956	collinear
gene:TraesCS1A02G005400	Chr1A	3117194	3118502	+	3117848	Chr1A	2660090	2661398	+	2660744	1.0	1.0	collinear
gene:TraesCS1A02G005500	Chr1A	3119378	3122276	-	3120827	Chr1A	2662274	2665172	-	2663723	1.0	1.0	collinear
gene:TraesCS1A02G005600	Chr1A	3255618	3262577	-	3259097	Chr1A	2797651	2804403	-	2801027	1.0	1.0	collinear
gene:TraesCS1A02G005700	Chr1A	3377838	3383699	+	3380768	Chr1A	2919152	2925013	+	2922082	1.0	1.0	collinear
gene:TraesCS1A02G005800	Chr1A	3386287	3391808	-	3389047	Chr1A	2927601	2933126	-	2930363	1.0	1.0	collinear
gene:TraesCS1A02G005900	Chr1A	3446931	3450200	+	3448565	Chr1A	2986606	2989875	+	2988240	1.0	0.999	collinear
gene:TraesCS1A02G006000	Chr1A	3451854	3454772	-	3453313	Chr1A	2991529	2994447	-	2992988	1.0	1.0	collinear
gene:TraesCS1A02G006100	Chr1A	3462554	3465581	-	3464067	Chr1A	3002229	3005256	-	3003742	1.0	1.0	collinear
gene:TraesCS1A02G006200	Chr1A	3488355	3491814	-	3490084	Chr1A	3027888	3031347	-	3029617	1.0	1.0	collinear
