cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	34691	37157317	335	0.9958059701492538
Chr7B	39548352	154814815	Chr7B	38493885	153648993	838	0.9964809069212409
Chr7B	157679186	159527014	Chr7B	166662016	168522233	14	0.9953571428571427
Chr7B	175896447	176739410	Chr7B	184571286	185409652	11	1.0
Chr7B	264005557	268454741	Chr7B	266268404	270654641	7	1.0
Chr7B	295082068	296338725	Chr7B	295677817	296957065	3	0.9996666666666667
Chr7B	304974222	307364806	Chr7B	307978030	310343834	5	0.9996
Chr7B	310413787	312442469	Chr7B	305990540	307829889	5	1.0
Chr7B	339608788	340640628	Chr7B	332205877	333244378	5	1.0
Chr7B	347979925	353630589	Chr7B	338129830	343618833	6	0.9998333333333335
Chr7B	364699839	389109218	Chr7B	360138417	384412745	121	0.9988842975206612
Chr7B	391956637	405970176	Chr7B	387236748	403219465	52	0.9989230769230768
Chr7B	408568404	419042240	Chr7B	403672057	414144747	45	0.9978666666666668
Chr7B	421064524	541167218	Chr7B	416142360	536175830	776	0.9976881443298968
Chr7B	543188151	736138668	Chr7B	538228506	724249029	1371	0.9903946024799417
Chr7B	738144856	744609317	Chr7B	718513806	733488740	69	0.9876521739130434
Chr7B	747287396	750604265	Chr7B	728928610	731808283	19	0.9630526315789473
