gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS6A02G006600	Chr6A	2716291	2719670	-	2717980	Chr6A	12930118	12933498	+	12931808	1.0	0.995	rearrangement:Chr6A_block1
gene:TraesCS6A02G006700	Chr6A	2724236	2725111	-	2724673	Chr6A	12918804	12919680	+	12919242	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G006800	Chr6A	2727546	2731988	-	2729767	Chr6A	12912608	12916393	+	12914500	1.0	0.995	rearrangement:Chr6A_block1
gene:TraesCS6A02G006900	Chr6A	2749268	2749864	+	2749566	Chr6A	12898775	12899371	-	12899073	1.0	1.0	rearrangement:Chr6A_block1
gene:TraesCS6A02G007000	Chr6A	2750921	2751822	+	2751371	Chr6A	12896872	12897719	-	12897295	0.94	0.937	rearrangement:Chr6A_block1
gene:TraesCS6A02G007100	Chr6A	2790533	2795156	+	2792844	Chr6A	12730281	12734936	-	12732608	1.0	0.97	rearrangement:Chr6A_block1
gene:TraesCS6A02G007200	Chr6A	2799043	2801355	+	2800199	Chr6A	12724093	12726407	-	12725250	1.0	0.994	rearrangement:Chr6A_block1
gene:TraesCS6A02G007300	Chr6A	2925081	2929106	+	2927093	Chr6A	12600462	12604553	-	12602507	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G007400	Chr6A	2951919	2958039	+	2954979	Chr6A	12563699	12569820	-	12566759	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G007500	Chr6A	2970723	2974933	+	2972828	Chr6A	12556828	12561038	-	12558933	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G007600	Chr6A	3001015	3003106	+	3002060	Chr6A	12544612	12546709	-	12545660	1.0	0.982	rearrangement:Chr6A_block1
gene:TraesCS6A02G007700	Chr6A	3014040	3017481	+	3015760	Chr6A	12530268	12533588	-	12531928	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G007800	Chr6A	3206194	3206811	+	3206502	Chr6A	12358195	12358812	-	12358503	1.0	0.998	rearrangement:Chr6A_block1
gene:TraesCS6A02G007900	Chr6A	3237974	3238467	+	3238220	Chr6A	12326021	12326514	-	12326267	1.0	0.991	rearrangement:Chr6A_block1
gene:TraesCS6A02G008000	Chr6A	3288495	3289339	+	3288917	Chr6A	12263796	12264643	-	12264219	1.0	0.991	rearrangement:Chr6A_block1
gene:TraesCS6A02G008500	Chr6A	3529548	3530042	+	3529795	Chr6A	12041034	12041528	-	12041281	1.0	0.983	rearrangement:Chr6A_block1
gene:TraesCS6A02G008600	Chr6A	3596300	3597064	-	3596682	Chr6A	11974542	11975306	+	11974924	1.0	0.996	rearrangement:Chr6A_block1
gene:TraesCS6A02G008700	Chr6A	3687889	3690253	+	3689071	Chr6A	11888099	11890478	-	11889288	1.0	0.994	rearrangement:Chr6A_block1
gene:TraesCS6A02G008800	Chr6A	3690332	3692787	+	3691559	Chr6A	11885566	11888020	-	11886793	1.0	0.978	rearrangement:Chr6A_block1
gene:TraesCS6A02G008900	Chr6A	3705190	3706849	+	3706019	Chr6A	11875902	11877459	-	11876680	0.933	0.917	rearrangement:Chr6A_block1
gene:TraesCS6A02G009100	Chr6A	3771987	3774077	-	3773032	Chr6A	11785840	11787940	+	11786890	0.997	0.988	rearrangement:Chr6A_block1
gene:TraesCS6A02G009200	Chr6A	3851157	3853368	-	3852262	Chr6A	11355214	11357527	+	11356370	0.996	0.96	rearrangement:Chr6A_block1
gene:TraesCS6A02G009300	Chr6A	3855223	3856041	-	3855632	Chr6A	11352509	11353333	+	11352921	0.984	0.933	rearrangement:Chr6A_block1
gene:TraesCS6A02G009400	Chr6A	3912917	3914541	+	3913729	Chr6A	11328167	11329793	-	11328980	1.0	0.983	rearrangement:Chr6A_block1
gene:TraesCS6A02G009500	Chr6A	4151906	4182072	+	4166989	Chr6A	11220375	11225352	+	11222863	0.955	0.922	rearrangement:Chr6A_block1
gene:TraesCS6A02G000100	Chr6A	56821	58390	+	57605	Chr6A	699892	701461	-	700676	1.0	0.997	collinear
gene:TraesCS6A02G000200	Chr6A	103455	110107	+	106781	Chr6A	649387	656048	-	652717	1.0	0.994	collinear
gene:TraesCS6A02G000300	Chr6A	286171	288047	+	287109	Chr6A	460619	462494	-	461556	0.999	0.996	collinear
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	457639	460607	-	459123	0.998	0.994	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	1789024	1793227	+	1791125	1.0	0.996	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	1757188	1762105	-	1759646	0.996	0.97	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	1755166	1756703	-	1755934	1.0	0.991	collinear
gene:TraesCS6A02G001000	Chr6A	637025	639371	+	638198	Chr6A	1752007	1754345	-	1753176	0.978	0.949	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	1747032	1753619	+	1750325	0.995	0.978	collinear
