cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr2D	34213	212930092	Chr2D	82407	211998209	2218	0.9988155996393149
Chr2D	215731966	223908849	Chr2D	214776381	222868053	13	0.9996153846153847
Chr2D	226334565	236124178	Chr2D	225282039	235001682	10	0.998
Chr2D	238162860	265066747	Chr2D	237018882	263785386	45	0.9998888888888889
Chr2D	267698311	280652282	Chr2D	266377367	279641606	28	0.9994285714285714
Chr2D	282927919	635522009	Chr2D	281914594	632789221	3074	0.9988399479505531
Chr2D	641000791	645758191	Chr2D	637224801	641934038	106	0.9986698113207548
Chr2D	650063332	650660609	Chr2D	648113810	649222066	12	0.9881666666666665
Chr2D	635595340	640391069	Chr2D	642061903	647888660	86	0.990860465116279
Chr2D	646851497	647814446	Chr2D	649342683	650231421	14	0.9943571428571429
Chr2D	645800404	651821746	Chr2D	633247979	637182767	93	0.9981505376344086
