cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr1A	403603	159522669	Chr1A	28716	158573594	1178	0.9967504244482174
Chr1A	161671479	177432536	Chr1A	160725483	176318939	29	0.9996551724137932
Chr1A	179530042	182122609	Chr1A	178348963	180929154	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	183724785	192276648	12	0.9998333333333335
Chr1A	200578799	202086777	Chr1A	199425098	200916977	5	1.0
Chr1A	204319371	209358469	Chr1A	203132859	208121387	7	0.9995714285714286
Chr1A	212017564	410154980	Chr1A	210645199	409627131	915	0.9961650273224043
Chr1A	412459137	420515127	Chr1A	412004150	420457965	23	0.9946956521739131
Chr1A	423163477	547507742	Chr1A	422258443	544275437	1224	0.9945735294117647
Chr1A	557139133	562318942	Chr1A	555249988	559651042	59	0.9950677966101695
Chr1A	572209871	593997588	Chr1A	569056658	590449245	301	0.9933488372093023
