cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr7A	146678066	156319510	Chr7A	161000128	171092916	71	0.9956619718309858
Chr7A	161280272	171949346	Chr7A	144424243	155301160	97	0.9941958762886598
Chr7A	211205518	211732393	Chr7A	158348461	158913065	15	0.9893333333333334
Chr7A	239629	71670370	Chr7A	27831	71562603	992	0.9944304435483872
Chr7A	73730871	146026136	Chr7A	73282392	143957703	679	0.995759941089838
Chr7A	156549988	160992235	Chr7A	155574301	160765788	17	0.9945294117647059
Chr7A	171535728	311914665	Chr7A	171845498	309791918	676	0.9966434911242603
Chr7A	314415263	349685423	Chr7A	312252103	347819995	53	0.9935660377358492
Chr7A	352621060	356369547	Chr7A	352068900	355795485	14	0.9952857142857144
Chr7A	362739671	378457252	Chr7A	363479107	378869959	21	0.9947619047619047
Chr7A	383437140	387174774	Chr7A	382929946	386702023	7	0.9974285714285714
Chr7A	391904207	736057700	Chr7A	391899835	731091706	2415	0.9942712215320911
Chr7A	379029586	381248677	Chr7A	388929141	391155187	8	0.9962500000000001
