cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr2B	362020345	367851602	Chr2B	369625784	375376872	16	0.9998750000000001
Chr2B	374208755	374802272	Chr2B	362730394	363314164	8	1.0
Chr2B	375133991	379787029	Chr2B	252600691	257249956	15	0.9999333333333333
Chr2B	10698	123101136	Chr2B	757446	129219075	1240	0.9926620967741936
Chr2B	129392470	202920401	Chr2B	130339781	201943955	550	0.9946763636363637
Chr2B	205644786	240314058	Chr2B	202042090	236445619	203	0.9961970443349754
Chr2B	242536523	270216010	Chr2B	238893160	271535588	129	0.9991240310077519
Chr2B	272550652	303097333	Chr2B	273877849	304325056	46	0.9996521739130435
Chr2B	305321036	318205778	Chr2B	306503414	319475464	16	0.999625
Chr2B	320343927	333044217	Chr2B	321611410	334060389	20	0.9999
Chr2B	335510269	342279112	Chr2B	336507988	343203854	9	0.9995555555555556
Chr2B	349919582	361286666	Chr2B	350672651	362558706	51	0.9995686274509804
Chr2B	368308226	373999276	Chr2B	363522494	369175789	28	0.9976785714285714
Chr2B	379832912	519185944	Chr2B	376119972	513795699	836	0.996736842105263
Chr2B	521331875	620632616	Chr2B	515937771	613668862	617	0.9953565640194489
Chr2B	628157301	634203708	Chr2B	618509592	624414135	45	0.992222222222222
Chr2B	638957088	795068665	Chr2B	631896576	787271022	1437	0.9893048016701462
Chr2B	798391840	801254636	Chr2B	782154775	790517852	15	0.9440000000000002
Chr2B	620861246	627323288	Chr2B	625253303	631717477	49	0.9971224489795917
Chr2B	635023422	638774460	Chr2B	613862401	617722605	35	0.9988285714285715
