cs_chr	cs_start	cs_end	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	n_anchors	mean_identity
Chr1B	712634	29492353	Chr1B	1518094	32596190	251	0.9712629482071712
Chr1B	31858804	76138867	Chr1B	33885989	80908672	306	0.9920718954248366
Chr1B	80709308	85441230	Chr1B	85086652	89777573	18	0.999
Chr1B	87732453	123973559	Chr1B	92069388	128386591	212	0.9979669811320756
Chr1B	129176801	218433567	Chr1B	128519578	216535499	357	0.9980112044817928
Chr1B	220753045	223795187	Chr1B	219054950	222118438	6	1.0
Chr1B	225799645	231641237	Chr1B	224104079	232903483	9	0.9991111111111112
Chr1B	239778311	243089038	Chr1B	240029301	242298596	6	1.0
Chr1B	245942911	255503017	Chr1B	246065358	257811401	17	0.9994117647058824
Chr1B	259024317	262920068	Chr1B	260681502	264529223	9	0.9996666666666667
Chr1B	266097456	289694136	Chr1B	268292415	292074292	82	0.9979146341463415
Chr1B	292342566	292418271	Chr1B	294639524	294714266	4	0.99875
Chr1B	294946215	314741626	Chr1B	297172375	320223490	68	0.9909264705882352
Chr1B	317013382	317917199	Chr1B	323143593	324420754	11	0.973909090909091
Chr1B	322108938	382223974	Chr1B	325125882	385765086	314	0.9962101910828025
Chr1B	385029601	535798613	Chr1B	386689136	537544709	944	0.995998940677966
Chr1B	538155632	680163685	Chr1B	538036956	679792540	1331	0.991167543200601
Chr1B	684044370	689851652	Chr1B	680086347	685679647	51	0.9967843137254901
